400.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -1.8258928, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 58, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 15,
425.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -0.058035713, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 61, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 18,
450.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -0.1875, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 63, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 18,
475.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -0.51339287, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 65, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 21,
500.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -0.5535714, 'cluster_537912_578689': -3.6785715,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 66, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 10,
525.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -0.58928573, 'cluster_537912_578689': -2.3526785,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 67, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 6,
550.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -1.2008928, 'cluster_537912_578689': -3.1294644,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 68, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 8,
575.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -2.2455356, 'cluster_537912_578689': -3.1830356,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 70, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 7,
600.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -2.21875, 'cluster_537912_578689': -3.669643,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 70, 'cluster_254337786_31404743': 10, 'cluster_537912_578689': 6,
625.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -0.8348214, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 7,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 71, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 13,
650.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -1.1696428, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 7,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 71, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 16,
675.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -1.75, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 7,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 71, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 17,
700.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -2.6160715, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 71, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 18,
725.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -1.1026785, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 72, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 12,
750.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -1.6964285, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 75, 'cluster_254337786_31404743': 10, 'cluster_537912_578689': 12,
775.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -2.4375, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 12, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 76, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 15,
800.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -2.705357, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 13, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 77, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 17,
825.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -3.1339285, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 13, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 77, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 19,
850.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -3.5089285, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 14, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 78, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 21,
875.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -3.924107, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 16, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 80, 'cluster_254337786_31404743': 14, 'cluster_537912_578689': 23,
900.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -4.0, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 19, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 83, 'cluster_254337786_31404743': 14, 'cluster_537912_578689': 25,
925.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -4.0, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 84, 'cluster_254337786_31404743': 16, 'cluster_537912_578689': 27,
950.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -4.0, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 84, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 33,
975.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -1.9776785, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 84, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 35,
1000.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -2.3705356, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 84, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 34,
1025.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -2.75, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 84, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 34,
1050.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -2.7232144, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 84, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 34,
1075.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -3.8482144, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 84, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 35,
1100.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -4.0, 'cluster_254337786_31404743': -4.0, 'cluster_537912_578689': -4.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 84, 'cluster_254337786_31404743': 14, 'cluster_537912_578689': 37,
