25.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.03125, 'cluster_254337786_31404743': 0.0, 'cluster_537912_578689': 0.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 0,
50.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.13839285, 'cluster_254337786_31404743': 0.0, 'cluster_537912_578689': -0.04910714,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 1,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 2,
75.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.20089285, 'cluster_254337786_31404743': -0.14732143, 'cluster_537912_578689': -0.5714286,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 9,
100.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.4642857, 'cluster_254337786_31404743': -0.41517857, 'cluster_537912_578689': -1.0401785,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,
125.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.36607143, 'cluster_254337786_31404743': -0.20535715, 'cluster_537912_578689': -1.1651785,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 1, 'cluster_537912_578689': 8,
150.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.80803573, 'cluster_254337786_31404743': -0.23214285, 'cluster_537912_578689': -0.85714287,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 10,
175.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1.1428572, 'cluster_254337786_31404743': -0.4955357, 'cluster_537912_578689': -1.3571428,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 12,
200.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.83035713, 'cluster_254337786_31404743': -0.70535713, 'cluster_537912_578689': -1.1964285,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 9,
225.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.625, 'cluster_254337786_31404743': -0.625, 'cluster_537912_578689': -1.3169643,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 10,
250.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.82589287, 'cluster_254337786_31404743': -0.6160714, 'cluster_537912_578689': -1.0535715,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 8,
275.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -0.18303572, 'cluster_254337786_31404743': -0.60714287, 'cluster_537912_578689': -0.90178573,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 8,
