25.0,'2404247020': -1, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -2, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
75.0,'2404247020': -1, '2404247023': -2,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
100.0,'2404247020': -2, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 4,
125.0,'2404247020': -2, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
150.0,'2404247020': -4, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 2,
175.0,'2404247020': 2, '2404247023': -7,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 7,
200.0,'2404247020': 3, '2404247023': -10,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 10,
225.0,'2404247020': 3, '2404247023': -13,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 13,
250.0,'2404247020': 3, '2404247023': -16,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 16,
275.0,'2404247020': 5, '2404247023': -10,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 12,
300.0,'2404247020': -4, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
325.0,'2404247020': -5, '2404247023': -5,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
350.0,'2404247020': -5, '2404247023': -8,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 8,
375.0,'2404247020': -1, '2404247023': -6,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
400.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
425.0,'2404247020': -4, '2404247023': -3,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 3,
450.0,'2404247020': 0, '2404247023': -7,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 7,
475.0,'2404247020': -3, '2404247023': -5,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 6,
500.0,'2404247020': -5, '2404247023': -4,'2404247020': 3, '2404247023': 1,'2404247020': 8, '2404247023': 6,
525.0,'2404247020': 0, '2404247023': -8,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 8,
550.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
575.0,'2404247020': -2, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
600.0,'2404247020': 2, '2404247023': -8,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 8,
625.0,'2404247020': 0, '2404247023': -7,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 7,
650.0,'2404247020': -4, '2404247023': -6,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 6,
675.0,'2404247020': -2, '2404247023': -6,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
700.0,'2404247020': 0, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
725.0,'2404247020': 1, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
750.0,'2404247020': -1, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
775.0,'2404247020': -4, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
800.0,'2404247020': -5, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
825.0,'2404247020': -4, '2404247023': -3,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
850.0,'2404247020': -5, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 4,
875.0,'2404247020': -8, '2404247023': 1,'2404247020': 4, '2404247023': 1,'2404247020': 9, '2404247023': 1,
900.0,'2404247020': -9, '2404247023': -1,'2404247020': 4, '2404247023': 1,'2404247020': 10, '2404247023': 3,
925.0,'2404247020': -1, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
950.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
975.0,'2404247020': -4, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
1000.0,'2404247020': 0, '2404247023': -8,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 8,
1025.0,'2404247020': 1, '2404247023': -12,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 12,
1050.0,'2404247020': -3, '2404247023': -8,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 8,
1075.0,'2404247020': 0, '2404247023': -6,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
1100.0,'2404247020': -1, '2404247023': -3,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
1125.0,'2404247020': 0, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
1150.0,'2404247020': -3, '2404247023': 0,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1175.0,'2404247020': -7, '2404247023': -2,'2404247020': 3, '2404247023': 2,'2404247020': 7, '2404247023': 4,
1200.0,'2404247020': -3, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1225.0,'2404247020': -2, '2404247023': -8,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 9,
1250.0,'2404247020': 0, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
