25.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -3, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
75.0,'2404247020': 1, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
100.0,'2404247020': -1, '2404247023': -5,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 5,
125.0,'2404247020': -5, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
150.0,'2404247020': -5, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
175.0,'2404247020': -5, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 1,
200.0,'2404247020': -5, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 3,
225.0,'2404247020': -4, '2404247023': -7,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 7,
250.0,'2404247020': -4, '2404247023': -10,'2404247020': 2, '2404247023': 4,'2404247020': 5, '2404247023': 10,
275.0,'2404247020': 4, '2404247023': -14,'2404247020': 0, '2404247023': 5,'2404247020': 0, '2404247023': 14,
300.0,'2404247020': 1, '2404247023': -14,'2404247020': 2, '2404247023': 5,'2404247020': 4, '2404247023': 14,
325.0,'2404247020': 0, '2404247023': -8,'2404247020': 0, '2404247023': 4,'2404247020': 0, '2404247023': 8,
350.0,'2404247020': 0, '2404247023': -12,'2404247020': 1, '2404247023': 6,'2404247020': 1, '2404247023': 12,
375.0,'2404247020': 0, '2404247023': -6,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 6,
400.0,'2404247020': -1, '2404247023': -7,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 8,
425.0,'2404247020': -2, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 5,
450.0,'2404247020': 0, '2404247023': -5,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 6,
475.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
500.0,'2404247020': -4, '2404247023': -5,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
525.0,'2404247020': -5, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 4,
550.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 5,
575.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 5,
600.0,'2404247020': 2, '2404247023': -6,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 6,
625.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
650.0,'2404247020': -1, '2404247023': -6,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 6,
675.0,'2404247020': -2, '2404247023': -3,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 3,
700.0,'2404247020': -4, '2404247023': -8,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 8,
725.0,'2404247020': 1, '2404247023': -4,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 4,
