25.0,'2404247020': -1, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -1, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
75.0,'2404247020': 2, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
100.0,'2404247020': -3, '2404247023': 1,'2404247020': 1, '2404247023': 0,'2404247020': 3, '2404247023': 0,
125.0,'2404247020': 0, '2404247023': -3,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 3,
150.0,'2404247020': -6, '2404247023': -1,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 1,
175.0,'2404247020': -2, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
200.0,'2404247020': -2, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
225.0,'2404247020': 1, '2404247023': -3,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 4,
250.0,'2404247020': -2, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
275.0,'2404247020': 0, '2404247023': -1,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 1,
300.0,'2404247020': -2, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
325.0,'2404247020': -3, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 3, '2404247023': 0,
350.0,'2404247020': 2, '2404247023': -4,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
375.0,'2404247020': -2, '2404247023': -4,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
400.0,'2404247020': 0, '2404247023': -4,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
425.0,'2404247020': -2, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
450.0,'2404247020': -3, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
475.0,'2404247020': 1, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
500.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
525.0,'2404247020': -1, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
550.0,'2404247020': -1, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
575.0,'2404247020': 1, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
600.0,'2404247020': 0, '2404247023': -2,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
625.0,'2404247020': 0, '2404247023': -5,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 5,
650.0,'2404247020': -1, '2404247023': -2,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 2,
675.0,'2404247020': 0, '2404247023': -4,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
700.0,'2404247020': -1, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
725.0,'2404247020': -1, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
750.0,'2404247020': -2, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
775.0,'2404247020': 1, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
800.0,'2404247020': -3, '2404247023': 1,'2404247020': 1, '2404247023': 0,'2404247020': 3, '2404247023': 0,
825.0,'2404247020': 1, '2404247023': -2,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
850.0,'2404247020': 1, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
875.0,'2404247020': -3, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 3, '2404247023': 0,
900.0,'2404247020': -1, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
925.0,'2404247020': 0, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
950.0,'2404247020': -2, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
975.0,'2404247020': 0, '2404247023': -4,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 5,
1000.0,'2404247020': -4, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1025.0,'2404247020': 0, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1050.0,'2404247020': -5, '2404247023': 0,'2404247020': 3, '2404247023': 1,'2404247020': 7, '2404247023': 2,
1075.0,'2404247020': 0, '2404247023': -3,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 3,
