25.0,'2404247020': -1, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -1, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
75.0,'2404247020': 2, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
100.0,'2404247020': -3, '2404247023': 1,'2404247020': 1, '2404247023': 0,'2404247020': 3, '2404247023': 0,
125.0,'2404247020': -1, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
150.0,'2404247020': -5, '2404247023': -1,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
175.0,'2404247020': -1, '2404247023': -4,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 4,
200.0,'2404247020': -3, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
225.0,'2404247020': -2, '2404247023': -3,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
250.0,'2404247020': 1, '2404247023': -4,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
275.0,'2404247020': 2, '2404247023': -2,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
300.0,'2404247020': -1, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
325.0,'2404247020': -2, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
350.0,'2404247020': -4, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
375.0,'2404247020': -4, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
400.0,'2404247020': 2, '2404247023': -4,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
425.0,'2404247020': -3, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 5,
450.0,'2404247020': -1, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
475.0,'2404247020': -2, '2404247023': -6,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
500.0,'2404247020': -2, '2404247023': -9,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 9,
525.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
550.0,'2404247020': 1, '2404247023': -3,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
575.0,'2404247020': 2, '2404247023': -2,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
600.0,'2404247020': 4, '2404247023': -10,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 10,
625.0,'2404247020': 4, '2404247023': -11,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 11,
650.0,'2404247020': 3, '2404247023': -11,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 11,
675.0,'2404247020': 0, '2404247023': -9,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 9,
700.0,'2404247020': -2, '2404247023': -5,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 5,
725.0,'2404247020': -1, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
750.0,'2404247020': -3, '2404247023': -1,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 1,
775.0,'2404247020': 0, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
800.0,'2404247020': 1, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
825.0,'2404247020': -1, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
