25.0,'2404247020': -1, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -2, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
75.0,'2404247020': -1, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
100.0,'2404247020': -2, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
125.0,'2404247020': 1, '2404247023': -4,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 4,
150.0,'2404247020': 1, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
175.0,'2404247020': 0, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
200.0,'2404247020': -2, '2404247023': -2,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
225.0,'2404247020': -3, '2404247023': -1,'2404247020': 1, '2404247023': 2,'2404247020': 4, '2404247023': 3,
250.0,'2404247020': 1, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
275.0,'2404247020': -5, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
300.0,'2404247020': 1, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
325.0,'2404247020': 0, '2404247023': -5,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 5,
350.0,'2404247020': 4, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 5,
375.0,'2404247020': 4, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 5,
400.0,'2404247020': 3, '2404247023': -8,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 8,
425.0,'2404247020': -2, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
450.0,'2404247020': -4, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 4, '2404247023': 0,
475.0,'2404247020': 1, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
500.0,'2404247020': 2, '2404247023': -7,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 7,
525.0,'2404247020': 1, '2404247023': -7,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 7,
550.0,'2404247020': 2, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
575.0,'2404247020': 0, '2404247023': -4,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
600.0,'2404247020': 0, '2404247023': -5,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 5,
625.0,'2404247020': 2, '2404247023': -8,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 8,
650.0,'2404247020': 0, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
675.0,'2404247020': -2, '2404247023': -7,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 7,
700.0,'2404247020': -6, '2404247023': -7,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 7,
725.0,'2404247020': -5, '2404247023': -6,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 6,
750.0,'2404247020': -6, '2404247023': -6,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 6,
775.0,'2404247020': -7, '2404247023': -5,'2404247020': 3, '2404247023': 3,'2404247020': 7, '2404247023': 5,
800.0,'2404247020': -7, '2404247023': -6,'2404247020': 3, '2404247023': 3,'2404247020': 7, '2404247023': 6,
825.0,'2404247020': -1, '2404247023': -9,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 9,
850.0,'2404247020': 0, '2404247023': -12,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 12,
875.0,'2404247020': -5, '2404247023': -5,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 5,
900.0,'2404247020': 1, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
925.0,'2404247020': -4, '2404247023': -5,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 5,
950.0,'2404247020': -6, '2404247023': -5,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 5,
975.0,'2404247020': -7, '2404247023': -5,'2404247020': 3, '2404247023': 3,'2404247020': 7, '2404247023': 5,
1000.0,'2404247020': -6, '2404247023': -5,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 5,
1025.0,'2404247020': 2, '2404247023': -8,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 9,
1050.0,'2404247020': 5, '2404247023': -9,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 9,
1075.0,'2404247020': 5, '2404247023': -11,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 11,
1100.0,'2404247020': 3, '2404247023': -11,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 11,
1125.0,'2404247020': 1, '2404247023': -8,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 9,
1150.0,'2404247020': -2, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1175.0,'2404247020': -3, '2404247023': -4,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 4,
1200.0,'2404247020': 0, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
1225.0,'2404247020': -4, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1250.0,'2404247020': -4, '2404247023': -6,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
1275.0,'2404247020': -4, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1300.0,'2404247020': -3, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1325.0,'2404247020': -6, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 6, '2404247023': 4,
1350.0,'2404247020': -4, '2404247023': -4,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 4,
1375.0,'2404247020': 3, '2404247023': -6,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 7,
1400.0,'2404247020': 0, '2404247023': -8,'2404247020': 1, '2404247023': 3,'2404247020': 4, '2404247023': 10,
1425.0,'2404247020': 0, '2404247023': -7,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 7,
1450.0,'2404247020': -3, '2404247023': -1,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 3,
1475.0,'2404247020': -7, '2404247023': -2,'2404247020': 3, '2404247023': 2,'2404247020': 7, '2404247023': 4,
1500.0,'2404247020': 0, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1525.0,'2404247020': -4, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 4,
1550.0,'2404247020': 1, '2404247023': -4,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
1575.0,'2404247020': -3, '2404247023': 1,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 3,
1600.0,'2404247020': -4, '2404247023': 0,'2404247020': 2, '2404247023': 3,'2404247020': 9, '2404247023': 6,
1625.0,'2404247020': -4, '2404247023': 0,'2404247020': 2, '2404247023': 4,'2404247020': 10, '2404247023': 6,
1650.0,'2404247020': 0, '2404247023': -3,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 3,
1675.0,'2404247020': -4, '2404247023': 0,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 2,
1700.0,'2404247020': 2, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1725.0,'2404247020': -4, '2404247023': -2,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1750.0,'2404247020': -2, '2404247023': -4,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
1775.0,'2404247020': -2, '2404247023': -6,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
1800.0,'2404247020': -2, '2404247023': -7,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 7,
1825.0,'2404247020': 0, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
1850.0,'2404247020': -2, '2404247023': -3,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
1875.0,'2404247020': -5, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1900.0,'2404247020': -1, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
1925.0,'2404247020': -1, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
1950.0,'2404247020': 3, '2404247023': -6,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
1975.0,'2404247020': 2, '2404247023': -6,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
2000.0,'2404247020': 3, '2404247023': -7,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 9,
2025.0,'2404247020': -1, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 5,
2050.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 4,
2075.0,'2404247020': -5, '2404247023': -1,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
2100.0,'2404247020': 3, '2404247023': -7,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 7,
2125.0,'2404247020': 0, '2404247023': -5,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 6,
2150.0,'2404247020': 3, '2404247023': -6,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
2175.0,'2404247020': 3, '2404247023': -8,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 8,
2200.0,'2404247020': 4, '2404247023': -9,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 9,
2225.0,'2404247020': 2, '2404247023': -11,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 11,
2250.0,'2404247020': 7, '2404247023': -15,'2404247020': 3, '2404247023': 4,'2404247020': 3, '2404247023': 15,
2275.0,'2404247020': 4, '2404247023': -9,'2404247020': 3, '2404247023': 5,'2404247020': 7, '2404247023': 11,
2300.0,'2404247020': 9, '2404247023': -13,'2404247020': 1, '2404247023': 4,'2404247020': 3, '2404247023': 14,
2325.0,'2404247020': 11, '2404247023': -12,'2404247020': 1, '2404247023': 5,'2404247020': 2, '2404247023': 13,
2350.0,'2404247020': -3, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 3, '2404247023': 0,
2375.0,'2404247020': -3, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
2400.0,'2404247020': 1, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 5,
2425.0,'2404247020': -1, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
2450.0,'2404247020': -2, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2475.0,'2404247020': 0, '2404247023': -5,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 5,
2500.0,'2404247020': -3, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2525.0,'2404247020': 1, '2404247023': -4,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
2550.0,'2404247020': -4, '2404247023': -5,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
2575.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
2600.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
2625.0,'2404247020': -4, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
2650.0,'2404247020': -5, '2404247023': -6,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
2675.0,'2404247020': -2, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 4,
2700.0,'2404247020': -2, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
2725.0,'2404247020': -3, '2404247023': -9,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 9,
2750.0,'2404247020': 0, '2404247023': -9,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 10,
2775.0,'2404247020': 3, '2404247023': -9,'2404247020': 3, '2404247023': 3,'2404247020': 3, '2404247023': 9,
2800.0,'2404247020': 2, '2404247023': -11,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 11,
2825.0,'2404247020': -5, '2404247023': -5,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 5,
2850.0,'2404247020': -4, '2404247023': -9,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 9,
2875.0,'2404247020': 4, '2404247023': -12,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 12,
2900.0,'2404247020': -4, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
2925.0,'2404247020': -3, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
2950.0,'2404247020': -6, '2404247023': -3,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 4,
2975.0,'2404247020': 0, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
3000.0,'2404247020': -3, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
3025.0,'2404247020': -4, '2404247023': -6,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
3050.0,'2404247020': -11, '2404247023': -3,'2404247020': 6, '2404247023': 2,'2404247020': 11, '2404247023': 3,
3075.0,'2404247020': -9, '2404247023': -1,'2404247020': 6, '2404247023': 2,'2404247020': 9, '2404247023': 3,
3100.0,'2404247020': -11, '2404247023': -2,'2404247020': 6, '2404247023': 2,'2404247020': 12, '2404247023': 4,
3125.0,'2404247020': -1, '2404247023': -6,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 6,
3150.0,'2404247020': -3, '2404247023': -7,'2404247020': 5, '2404247023': 2,'2404247020': 6, '2404247023': 7,
3175.0,'2404247020': -4, '2404247023': -7,'2404247020': 5, '2404247023': 2,'2404247020': 7, '2404247023': 7,
3200.0,'2404247020': -11, '2404247023': -5,'2404247020': 7, '2404247023': 2,'2404247020': 11, '2404247023': 5,
3225.0,'2404247020': -10, '2404247023': 0,'2404247020': 7, '2404247023': 1,'2404247020': 10, '2404247023': 2,
3250.0,'2404247020': 1, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
3275.0,'2404247020': -4, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
3300.0,'2404247020': -10, '2404247023': 0,'2404247020': 3, '2404247023': 2,'2404247020': 10, '2404247023': 4,
3325.0,'2404247020': 0, '2404247023': -5,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 5,
3350.0,'2404247020': -1, '2404247023': -4,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 4,
3375.0,'2404247020': -3, '2404247023': -10,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 10,
3400.0,'2404247020': 2, '2404247023': -9,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 10,
3425.0,'2404247020': 2, '2404247023': -11,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 11,
3450.0,'2404247020': 6, '2404247023': -10,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 10,
3475.0,'2404247020': 4, '2404247023': -11,'2404247020': 3, '2404247023': 4,'2404247020': 4, '2404247023': 11,
3500.0,'2404247020': -5, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
3525.0,'2404247020': -6, '2404247023': -5,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
3550.0,'2404247020': -5, '2404247023': -7,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 7,
3575.0,'2404247020': -6, '2404247023': -8,'2404247020': 3, '2404247023': 2,'2404247020': 8, '2404247023': 8,
3600.0,'2404247020': 3, '2404247023': -12,'2404247020': 3, '2404247023': 5,'2404247020': 4, '2404247023': 13,
