1350.0,'2404247020': -4, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1375.0,'2404247020': -5, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
1400.0,'2404247020': -5, '2404247023': -7,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 7,
1425.0,'2404247020': -6, '2404247023': -8,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 8,
1450.0,'2404247020': -5, '2404247023': -10,'2404247020': 3, '2404247023': 4,'2404247020': 6, '2404247023': 10,
1475.0,'2404247020': -5, '2404247023': -10,'2404247020': 3, '2404247023': 4,'2404247020': 6, '2404247023': 10,
1500.0,'2404247020': -3, '2404247023': -9,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 10,
1525.0,'2404247020': -7, '2404247023': -7,'2404247020': 4, '2404247023': 2,'2404247020': 11, '2404247023': 11,
1550.0,'2404247020': -11, '2404247023': -1,'2404247020': 5, '2404247023': 3,'2404247020': 15, '2404247023': 7,
1575.0,'2404247020': -17, '2404247023': 0,'2404247020': 6, '2404247023': 3,'2404247020': 17, '2404247023': 6,
1600.0,'2404247020': -18, '2404247023': 5,'2404247020': 6, '2404247023': 1,'2404247020': 19, '2404247023': 2,
1625.0,'2404247020': -5, '2404247023': -6,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 6,
1650.0,'2404247020': -5, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1675.0,'2404247020': -4, '2404247023': -3,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
1700.0,'2404247020': -3, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1725.0,'2404247020': -2, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1750.0,'2404247020': -2, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1775.0,'2404247020': -1, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1800.0,'2404247020': 0, '2404247023': -2,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 2,
1825.0,'2404247020': -2, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1850.0,'2404247020': -4, '2404247023': 1,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
1875.0,'2404247020': -6, '2404247023': 0,'2404247020': 2, '2404247023': 2,'2404247020': 6, '2404247023': 4,
1900.0,'2404247020': -9, '2404247023': 3,'2404247020': 2, '2404247023': 1,'2404247020': 9, '2404247023': 1,
1925.0,'2404247020': 1, '2404247023': -6,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
1950.0,'2404247020': -2, '2404247023': -3,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 3,
1975.0,'2404247020': -2, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
2000.0,'2404247020': -2, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
2025.0,'2404247020': -3, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
2050.0,'2404247020': -1, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2075.0,'2404247020': -2, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
2100.0,'2404247020': 0, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
2125.0,'2404247020': 1, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2150.0,'2404247020': 1, '2404247023': -7,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 7,
2175.0,'2404247020': 2, '2404247023': -9,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 9,
