25.0,'2404247020': -1, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -2, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
75.0,'2404247020': -4, '2404247023': -3,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
100.0,'2404247020': 3, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
125.0,'2404247020': -3, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
150.0,'2404247020': -1, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
175.0,'2404247020': -1, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
200.0,'2404247020': -2, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
225.0,'2404247020': 3, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
250.0,'2404247020': -2, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
275.0,'2404247020': -2, '2404247023': -3,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
300.0,'2404247020': 1, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
325.0,'2404247020': -1, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
350.0,'2404247020': -4, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
375.0,'2404247020': -1, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 4,
400.0,'2404247020': 2, '2404247023': -7,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 7,
425.0,'2404247020': -3, '2404247023': -3,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
450.0,'2404247020': -3, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
475.0,'2404247020': 0, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
500.0,'2404247020': -3, '2404247023': -6,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 6,
525.0,'2404247020': -4, '2404247023': -3,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 3,
550.0,'2404247020': -2, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
575.0,'2404247020': 0, '2404247023': -4,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 4,
600.0,'2404247020': 1, '2404247023': -3,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
625.0,'2404247020': 0, '2404247023': -4,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
650.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
675.0,'2404247020': -3, '2404247023': -7,'2404247020': 1, '2404247023': 4,'2404247020': 3, '2404247023': 8,
700.0,'2404247020': -1, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
725.0,'2404247020': 1, '2404247023': -3,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
750.0,'2404247020': 0, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
775.0,'2404247020': -4, '2404247023': 1,'2404247020': 2, '2404247023': 0,'2404247020': 4, '2404247023': 0,
800.0,'2404247020': -2, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
825.0,'2404247020': -4, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
850.0,'2404247020': -5, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 2,
875.0,'2404247020': -1, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
900.0,'2404247020': -1, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 5,
925.0,'2404247020': 0, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
950.0,'2404247020': 2, '2404247023': -3,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
975.0,'2404247020': -4, '2404247023': 1,'2404247020': 1, '2404247023': 1,'2404247020': 4, '2404247023': 1,
1000.0,'2404247020': -7, '2404247023': 1,'2404247020': 3, '2404247023': 1,'2404247020': 7, '2404247023': 1,
1025.0,'2404247020': 0, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
1050.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1075.0,'2404247020': -3, '2404247023': 1,'2404247020': 1, '2404247023': 1,'2404247020': 4, '2404247023': 2,
1100.0,'2404247020': -3, '2404247023': -1,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 1,
1125.0,'2404247020': -5, '2404247023': -3,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 4,
1150.0,'2404247020': 0, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
1175.0,'2404247020': 0, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
1200.0,'2404247020': -6, '2404247023': 1,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 3,
1225.0,'2404247020': -3, '2404247023': -3,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
1250.0,'2404247020': -1, '2404247023': -3,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 3,
1275.0,'2404247020': 0, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1300.0,'2404247020': -3, '2404247023': -3,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
1325.0,'2404247020': 0, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1350.0,'2404247020': -3, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1375.0,'2404247020': 0, '2404247023': -3,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 3,
1400.0,'2404247020': -1, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1425.0,'2404247020': -4, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
1450.0,'2404247020': -1, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
1475.0,'2404247020': 2, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1500.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1525.0,'2404247020': -4, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 3,
1550.0,'2404247020': 1, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
1575.0,'2404247020': -1, '2404247023': -4,'2404247020': 1, '2404247023': 1,'2404247020': 4, '2404247023': 6,
1600.0,'2404247020': 1, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1625.0,'2404247020': -3, '2404247023': 0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
1650.0,'2404247020': 2, '2404247023': -3,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
1675.0,'2404247020': -4, '2404247023': -3,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1700.0,'2404247020': 1, '2404247023': -1,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 1,
1725.0,'2404247020': -2, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
