25.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -2, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
75.0,'2404247020': -1, '2404247023': -7,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 7,
100.0,'2404247020': -5, '2404247023': -1,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
125.0,'2404247020': -4, '2404247023': -2,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
150.0,'2404247020': -2, '2404247023': -2,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
175.0,'2404247020': -2, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
200.0,'2404247020': -3, '2404247023': 1,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
225.0,'2404247020': -1, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
250.0,'2404247020': -3, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
275.0,'2404247020': -4, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
300.0,'2404247020': -5, '2404247023': -3,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
325.0,'2404247020': 0, '2404247023': -5,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 5,
350.0,'2404247020': -5, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
375.0,'2404247020': 0, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 5,
400.0,'2404247020': -2, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
425.0,'2404247020': -3, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 3, '2404247023': 0,
450.0,'2404247020': -1, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
475.0,'2404247020': -3, '2404247023': -3,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
500.0,'2404247020': -3, '2404247023': -4,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 4,
525.0,'2404247020': -4, '2404247023': -7,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 7,
550.0,'2404247020': -4, '2404247023': -8,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 8,
575.0,'2404247020': 5, '2404247023': -9,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 9,
600.0,'2404247020': 5, '2404247023': -13,'2404247020': 0, '2404247023': 4,'2404247020': 0, '2404247023': 13,
625.0,'2404247020': 2, '2404247023': -10,'2404247020': 2, '2404247023': 5,'2404247020': 3, '2404247023': 10,
650.0,'2404247020': 0, '2404247023': -14,'2404247020': 3, '2404247023': 5,'2404247020': 5, '2404247023': 14,
675.0,'2404247020': 1, '2404247023': -18,'2404247020': 3, '2404247023': 6,'2404247020': 5, '2404247023': 18,
700.0,'2404247020': -5, '2404247023': -15,'2404247020': 2, '2404247023': 6,'2404247020': 5, '2404247023': 15,
725.0,'2404247020': -5, '2404247023': -15,'2404247020': 2, '2404247023': 6,'2404247020': 5, '2404247023': 15,
750.0,'2404247020': -5, '2404247023': -15,'2404247020': 2, '2404247023': 6,'2404247020': 5, '2404247023': 15,
775.0,'2404247020': -5, '2404247023': -16,'2404247020': 2, '2404247023': 7,'2404247020': 5, '2404247023': 16,
800.0,'2404247020': 2, '2404247023': -14,'2404247020': 1, '2404247023': 6,'2404247020': 1, '2404247023': 14,
825.0,'2404247020': 2, '2404247023': -16,'2404247020': 2, '2404247023': 6,'2404247020': 2, '2404247023': 16,
850.0,'2404247020': 1, '2404247023': -19,'2404247020': 2, '2404247023': 7,'2404247020': 3, '2404247023': 19,
875.0,'2404247020': 4, '2404247023': -14,'2404247020': 1, '2404247023': 5,'2404247020': 2, '2404247023': 14,
900.0,'2404247020': 4, '2404247023': -17,'2404247020': 2, '2404247023': 5,'2404247020': 3, '2404247023': 17,
925.0,'2404247020': 6, '2404247023': -18,'2404247020': 2, '2404247023': 5,'2404247020': 2, '2404247023': 18,
950.0,'2404247020': 5, '2404247023': -20,'2404247020': 2, '2404247023': 5,'2404247020': 3, '2404247023': 20,
975.0,'2404247020': 6, '2404247023': -18,'2404247020': 2, '2404247023': 5,'2404247020': 4, '2404247023': 20,
1000.0,'2404247020': -4, '2404247023': -8,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 8,
1025.0,'2404247020': -3, '2404247023': -9,'2404247020': 2, '2404247023': 4,'2404247020': 4, '2404247023': 9,
1050.0,'2404247020': -4, '2404247023': -9,'2404247020': 2, '2404247023': 4,'2404247020': 4, '2404247023': 9,
1075.0,'2404247020': -4, '2404247023': -11,'2404247020': 2, '2404247023': 5,'2404247020': 4, '2404247023': 11,
1100.0,'2404247020': -4, '2404247023': -12,'2404247020': 2, '2404247023': 5,'2404247020': 4, '2404247023': 12,
1125.0,'2404247020': -3, '2404247023': -13,'2404247020': 2, '2404247023': 5,'2404247020': 4, '2404247023': 13,
1150.0,'2404247020': -3, '2404247023': -14,'2404247020': 2, '2404247023': 5,'2404247020': 4, '2404247023': 14,
1175.0,'2404247020': -4, '2404247023': -16,'2404247020': 2, '2404247023': 6,'2404247020': 4, '2404247023': 16,
1200.0,'2404247020': -3, '2404247023': -15,'2404247020': 2, '2404247023': 6,'2404247020': 3, '2404247023': 16,
1225.0,'2404247020': -7, '2404247023': -11,'2404247020': 2, '2404247023': 7,'2404247020': 7, '2404247023': 14,
1250.0,'2404247020': -7, '2404247023': -16,'2404247020': 2, '2404247023': 6,'2404247020': 7, '2404247023': 16,
1275.0,'2404247020': -9, '2404247023': -17,'2404247020': 4, '2404247023': 7,'2404247020': 9, '2404247023': 17,
1300.0,'2404247020': -4, '2404247023': -17,'2404247020': 2, '2404247023': 7,'2404247020': 5, '2404247023': 17,
1325.0,'2404247020': -6, '2404247023': -20,'2404247020': 2, '2404247023': 9,'2404247020': 7, '2404247023': 20,
1350.0,'2404247020': -8, '2404247023': -21,'2404247020': 4, '2404247023': 9,'2404247020': 9, '2404247023': 21,
1375.0,'2404247020': -8, '2404247023': -22,'2404247020': 4, '2404247023': 10,'2404247020': 9, '2404247023': 22,
1400.0,'2404247020': -7, '2404247023': -26,'2404247020': 5, '2404247023': 11,'2404247020': 7, '2404247023': 26,
1425.0,'2404247020': -3, '2404247023': -27,'2404247020': 2, '2404247023': 12,'2404247020': 5, '2404247023': 27,
1450.0,'2404247020': -5, '2404247023': -27,'2404247020': 3, '2404247023': 13,'2404247020': 8, '2404247023': 29,
1475.0,'2404247020': 1, '2404247023': -32,'2404247020': 2, '2404247023': 13,'2404247020': 3, '2404247023': 32,
1500.0,'2404247020': -4, '2404247023': -32,'2404247020': 2, '2404247023': 14,'2404247020': 4, '2404247023': 32,
1525.0,'2404247020': -6, '2404247023': -29,'2404247020': 2, '2404247023': 14,'2404247020': 7, '2404247023': 32,
1550.0,'2404247020': -10, '2404247023': -28,'2404247020': 3, '2404247023': 13,'2404247020': 10, '2404247023': 28,
1575.0,'2404247020': -6, '2404247023': -29,'2404247020': 4, '2404247023': 13,'2404247020': 8, '2404247023': 29,
1600.0,'2404247020': 2, '2404247023': -31,'2404247020': 3, '2404247023': 11,'2404247020': 4, '2404247023': 31,
1625.0,'2404247020': -1, '2404247023': -31,'2404247020': 3, '2404247023': 12,'2404247020': 7, '2404247023': 31,
1650.0,'2404247020': -7, '2404247023': -31,'2404247020': 3, '2404247023': 13,'2404247020': 7, '2404247023': 31,
1675.0,'2404247020': -8, '2404247023': -31,'2404247020': 3, '2404247023': 13,'2404247020': 8, '2404247023': 31,
1700.0,'2404247020': -12, '2404247023': -31,'2404247020': 5, '2404247023': 13,'2404247020': 12, '2404247023': 31,
1725.0,'2404247020': -14, '2404247023': -30,'2404247020': 6, '2404247023': 14,'2404247020': 14, '2404247023': 31,
1750.0,'2404247020': -13, '2404247023': -32,'2404247020': 6, '2404247023': 14,'2404247020': 13, '2404247023': 33,
1775.0,'2404247020': -16, '2404247023': -25,'2404247020': 6, '2404247023': 14,'2404247020': 17, '2404247023': 29,
1800.0,'2404247020': -20, '2404247023': -24,'2404247020': 7, '2404247023': 12,'2404247020': 21, '2404247023': 30,
1825.0,'2404247020': -10, '2404247023': -22,'2404247020': 4, '2404247023': 9,'2404247020': 10, '2404247023': 22,
1850.0,'2404247020': -12, '2404247023': -16,'2404247020': 5, '2404247023': 8,'2404247020': 12, '2404247023': 17,
1875.0,'2404247020': -12, '2404247023': -14,'2404247020': 5, '2404247023': 7,'2404247020': 12, '2404247023': 15,
1900.0,'2404247020': -11, '2404247023': -15,'2404247020': 4, '2404247023': 7,'2404247020': 12, '2404247023': 15,
1925.0,'2404247020': -7, '2404247023': -23,'2404247020': 3, '2404247023': 9,'2404247020': 7, '2404247023': 23,
1950.0,'2404247020': -5, '2404247023': -23,'2404247020': 3, '2404247023': 9,'2404247020': 6, '2404247023': 23,
1975.0,'2404247020': -7, '2404247023': -23,'2404247020': 4, '2404247023': 9,'2404247020': 10, '2404247023': 23,
2000.0,'2404247020': -11, '2404247023': -25,'2404247020': 5, '2404247023': 10,'2404247020': 11, '2404247023': 25,
2025.0,'2404247020': -17, '2404247023': -18,'2404247020': 8, '2404247023': 11,'2404247020': 17, '2404247023': 22,
2050.0,'2404247020': -17, '2404247023': -15,'2404247020': 8, '2404247023': 9,'2404247020': 22, '2404247023': 21,
2075.0,'2404247020': -1, '2404247023': -25,'2404247020': 4, '2404247023': 9,'2404247020': 8, '2404247023': 25,
2100.0,'2404247020': -4, '2404247023': -24,'2404247020': 3, '2404247023': 10,'2404247020': 4, '2404247023': 24,
2125.0,'2404247020': -2, '2404247023': -21,'2404247020': 2, '2404247023': 8,'2404247020': 2, '2404247023': 21,
2150.0,'2404247020': -3, '2404247023': -18,'2404247020': 2, '2404247023': 7,'2404247020': 3, '2404247023': 18,
2175.0,'2404247020': -1, '2404247023': -20,'2404247020': 3, '2404247023': 8,'2404247020': 3, '2404247023': 20,
2200.0,'2404247020': 0, '2404247023': -21,'2404247020': 3, '2404247023': 8,'2404247020': 3, '2404247023': 21,
2225.0,'2404247020': -2, '2404247023': -24,'2404247020': 3, '2404247023': 8,'2404247020': 5, '2404247023': 24,
2250.0,'2404247020': -5, '2404247023': -22,'2404247020': 3, '2404247023': 8,'2404247020': 5, '2404247023': 22,
2275.0,'2404247020': -8, '2404247023': -23,'2404247020': 3, '2404247023': 9,'2404247020': 8, '2404247023': 23,
2300.0,'2404247020': -4, '2404247023': -23,'2404247020': 2, '2404247023': 9,'2404247020': 4, '2404247023': 23,
2325.0,'2404247020': -6, '2404247023': -18,'2404247020': 2, '2404247023': 7,'2404247020': 6, '2404247023': 18,
2350.0,'2404247020': -9, '2404247023': -16,'2404247020': 4, '2404247023': 7,'2404247020': 9, '2404247023': 16,
