25.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -7.0, '2404247023': -27.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
75.0,'2404247020': -25.0, '2404247023': -35.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
100.0,'2404247020': -11.0, '2404247023': -153.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 7,
125.0,'2404247020': -50.0, '2404247023': -12.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
150.0,'2404247020': -12.0, '2404247023': -48.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
175.0,'2404247020': -23.0, '2404247023': -8.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
200.0,'2404247020': -13.0, '2404247023': -55.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
225.0,'2404247020': -80.0, '2404247023': -90.0,'2404247020': 1, '2404247023': 2,'2404247020': 4, '2404247023': 4,
250.0,'2404247020': -22.0, '2404247023': -64.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
275.0,'2404247020': 0, '2404247023': -133.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 3,
300.0,'2404247020': -19.0, '2404247023': -7.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
325.0,'2404247020': -44.0, '2404247023': -39.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
350.0,'2404247020': -175.0, '2404247023': -61.0,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 3,
375.0,'2404247020': -4.0, '2404247023': -38.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 6,
400.0,'2404247020': -60.0, '2404247023': -210.0,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 8,
425.0,'2404247020': -17.0, '2404247023': -71.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 4,
450.0,'2404247020': -103.0, '2404247023': -114.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
475.0,'2404247020': -11.0, '2404247023': -138.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
500.0,'2404247020': -30.0, '2404247023': -72.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
525.0,'2404247020': -84.0, '2404247023': -26.0,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 2,
550.0,'2404247020': -10.0, '2404247023': -65.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
575.0,'2404247020': -10.0, '2404247023': -31.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
600.0,'2404247020': -124.0, '2404247023': -25.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
625.0,'2404247020': 0, '2404247023': -90.0,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 8,
650.0,'2404247020': -5.0, '2404247023': -303.0,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 10,
675.0,'2404247020': 0, '2404247023': -150.0,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 5,
700.0,'2404247020': -44.0, '2404247023': -300.0,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 7,
725.0,'2404247020': -19.0, '2404247023': -479.0,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 9,
750.0,'2404247020': -14.0, '2404247023': -430.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
775.0,'2404247020': -44.0, '2404247023': -161.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
800.0,'2404247020': -39.0, '2404247023': -201.0,'2404247020': 1, '2404247023': 1,'2404247020': 4, '2404247023': 5,
825.0,'2404247020': -19.0, '2404247023': -17.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 3,
850.0,'2404247020': -7.0, '2404247023': -80.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
875.0,'2404247020': -35.0, '2404247023': -109.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
900.0,'2404247020': -3.0, '2404247023': -58.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
925.0,'2404247020': -37.0, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
950.0,'2404247020': -68.0, '2404247023': -17.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
975.0,'2404247020': -28.0, '2404247023': -129.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 7,
1000.0,'2404247020': -65.0, '2404247023': -64.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
1025.0,'2404247020': -52.0, '2404247023': -116.0,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 5,
1050.0,'2404247020': -19.0, '2404247023': -40.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1075.0,'2404247020': -37.0, '2404247023': -132.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 5,
