25.0,'2404247020': -9.0, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
50.0,'2404247020': -15.0, '2404247023': -6.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
75.0,'2404247020': -5.0, '2404247023': -80.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
100.0,'2404247020': -62.0, '2404247023': -135.0,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 5,
125.0,'2404247020': -47.0, '2404247023': -269.0,'2404247020': 3, '2404247023': 3,'2404247020': 3, '2404247023': 7,
150.0,'2404247020': -142.0, '2404247023': -475.0,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 9,
175.0,'2404247020': -242.0, '2404247023': -736.0,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 11,
200.0,'2404247020': -14.0, '2404247023': -823.0,'2404247020': 1, '2404247023': 4,'2404247020': 2, '2404247023': 11,
225.0,'2404247020': -47.0, '2404247023': -7.0,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 1,
250.0,'2404247020': -19.0, '2404247023': -41.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
275.0,'2404247020': -22.0, '2404247023': -78.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
300.0,'2404247020': -101.0, '2404247023': -153.0,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
325.0,'2404247020': 0, '2404247023': -253.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 6,
350.0,'2404247020': -53.0, '2404247023': -242.0,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
375.0,'2404247020': -153.0, '2404247023': -41.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
400.0,'2404247020': -253.0, '2404247023': -150.0,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 6,
425.0,'2404247020': -370.0, '2404247023': -192.0,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 6,
450.0,'2404247020': -511.0, '2404247023': -316.0,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 8,
475.0,'2404247020': -670.0, '2404247023': -541.0,'2404247020': 3, '2404247023': 3,'2404247020': 7, '2404247023': 9,
500.0,'2404247020': -846.0, '2404247023': -807.0,'2404247020': 3, '2404247023': 4,'2404247020': 8, '2404247023': 13,
525.0,'2404247020': -1020.0, '2404247023': -1150.0,'2404247020': 3, '2404247023': 5,'2404247020': 7, '2404247023': 14,
550.0,'2404247020': -1195.0, '2404247023': -1513.0,'2404247020': 3, '2404247023': 5,'2404247020': 7, '2404247023': 15,
575.0,'2404247020': 0, '2404247023': -1912.0,'2404247020': 0, '2404247023': 7,'2404247020': 0, '2404247023': 18,
600.0,'2404247020': -43.0, '2404247023': -1570.0,'2404247020': 3, '2404247023': 5,'2404247020': 3, '2404247023': 14,
625.0,'2404247020': -131.0, '2404247023': -2040.0,'2404247020': 3, '2404247023': 9,'2404247020': 4, '2404247023': 22,
650.0,'2404247020': -248.0, '2404247023': -2618.0,'2404247020': 3, '2404247023': 10,'2404247020': 5, '2404247023': 24,
675.0,'2404247020': -373.0, '2404247023': -3301.0,'2404247020': 3, '2404247023': 12,'2404247020': 5, '2404247023': 28,
700.0,'2404247020': -510.0, '2404247023': -4001.0,'2404247020': 3, '2404247023': 12,'2404247020': 6, '2404247023': 28,
725.0,'2404247020': -266.0, '2404247023': -4116.0,'2404247020': 2, '2404247023': 11,'2404247020': 4, '2404247023': 27,
750.0,'2404247020': -397.0, '2404247023': -3300.0,'2404247020': 2, '2404247023': 9,'2404247020': 7, '2404247023': 20,
775.0,'2404247020': -240.0, '2404247023': -2565.0,'2404247020': 4, '2404247023': 9,'2404247020': 5, '2404247023': 22,
800.0,'2404247020': -65.0, '2404247023': -2234.0,'2404247020': 3, '2404247023': 7,'2404247020': 5, '2404247023': 19,
