25.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -12.0, '2404247023': -22.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
75.0,'2404247020': -5.0, '2404247023': -82.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
100.0,'2404247020': -33.0, '2404247023': -19.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
125.0,'2404247020': -153.0, '2404247023': -5.0,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 1,
150.0,'2404247020': -37.0, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
175.0,'2404247020': 0, '2404247023': -60.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
200.0,'2404247020': -27.0, '2404247023': -21.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
225.0,'2404247020': -146.0, '2404247023': -18.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
250.0,'2404247020': -19.0, '2404247023': -70.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
275.0,'2404247020': -29.0, '2404247023': -229.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 8,
300.0,'2404247020': -21.0, '2404247023': -22.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
325.0,'2404247020': -47.0, '2404247023': -79.0,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 3,
350.0,'2404247020': -9.0, '2404247023': -40.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
375.0,'2404247020': 0, '2404247023': -156.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 5,
400.0,'2404247020': -23.0, '2404247023': -111.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
425.0,'2404247020': -25.0, '2404247023': -66.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
450.0,'2404247020': -53.0, '2404247023': -4.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
475.0,'2404247020': -31.0, '2404247023': -40.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
500.0,'2404247020': -12.0, '2404247023': -37.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
525.0,'2404247020': -20.0, '2404247023': -17.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
550.0,'2404247020': -16.0, '2404247023': -22.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
575.0,'2404247020': 0, '2404247023': -100.0,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 5,
600.0,'2404247020': -6.0, '2404247023': -244.0,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 6,
625.0,'2404247020': -44.0, '2404247023': -88.0,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 5,
650.0,'2404247020': -134.0, '2404247023': -256.0,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 8,
675.0,'2404247020': -259.0, '2404247023': -325.0,'2404247020': 3, '2404247023': 5,'2404247020': 5, '2404247023': 11,
700.0,'2404247020': -384.0, '2404247023': -607.0,'2404247020': 3, '2404247023': 5,'2404247020': 5, '2404247023': 13,
725.0,'2404247020': 0, '2404247023': -418.0,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 10,
750.0,'2404247020': -57.0, '2404247023': -399.0,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 8,
775.0,'2404247020': -175.0, '2404247023': -638.0,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 11,
800.0,'2404247020': -14.0, '2404247023': -550.0,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 10,
825.0,'2404247020': -130.0, '2404247023': -266.0,'2404247020': 3, '2404247023': 1,'2404247020': 7, '2404247023': 4,
850.0,'2404247020': -331.0, '2404247023': -289.0,'2404247020': 3, '2404247023': 3,'2404247020': 9, '2404247023': 8,
875.0,'2404247020': -37.0, '2404247023': -3.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
900.0,'2404247020': -112.0, '2404247023': -77.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
925.0,'2404247020': -8.0, '2404247023': -109.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
950.0,'2404247020': -30.0, '2404247023': -67.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 3,
975.0,'2404247020': -57.0, '2404247023': -132.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1000.0,'2404247020': -54.0, '2404247023': -12.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
1025.0,'2404247020': -159.0, '2404247023': -33.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
1050.0,'2404247020': -284.0, '2404247023': -27.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
1075.0,'2404247020': -19.0, '2404247023': -144.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
1100.0,'2404247020': -54.0, '2404247023': -267.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1125.0,'2404247020': -90.0, '2404247023': -12.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
1150.0,'2404247020': -89.0, '2404247023': -36.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
1175.0,'2404247020': -12.0, '2404247023': -80.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
