25.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -6.0, '2404247023': -3.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
75.0,'2404247020': -5.0, '2404247023': -11.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
100.0,'2404247020': -29.0, '2404247023': -21.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
125.0,'2404247020': -11.0, '2404247023': -13.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
150.0,'2404247020': -13.0, '2404247023': -72.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
175.0,'2404247020': -41.0, '2404247023': -49.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
200.0,'2404247020': -41.0, '2404247023': -7.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
225.0,'2404247020': -160.0, '2404247023': -48.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
250.0,'2404247020': -20.0, '2404247023': -2.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
275.0,'2404247020': -25.0, '2404247023': -19.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
300.0,'2404247020': -19.0, '2404247023': -21.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
325.0,'2404247020': -46.0, '2404247023': -25.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
350.0,'2404247020': -179.0, '2404247023': -37.0,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 3,
375.0,'2404247020': -27.0, '2404247023': -99.0,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 5,
400.0,'2404247020': -11.0, '2404247023': -53.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
425.0,'2404247020': -26.0, '2404247023': -26.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
450.0,'2404247020': -27.0, '2404247023': -71.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
475.0,'2404247020': -33.0, '2404247023': -106.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 4,
500.0,'2404247020': -8.0, '2404247023': -236.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
525.0,'2404247020': -67.0, '2404247023': -25.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
550.0,'2404247020': -36.0, '2404247023': -34.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
575.0,'2404247020': -15.0, '2404247023': -56.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
600.0,'2404247020': 0, '2404247023': -18.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
625.0,'2404247020': -47.0, '2404247023': -59.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
650.0,'2404247020': -5.0, '2404247023': -66.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
675.0,'2404247020': -29.0, '2404247023': -141.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
700.0,'2404247020': -38.0, '2404247023': -53.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
725.0,'2404247020': -28.0, '2404247023': -48.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 5,
750.0,'2404247020': -15.0, '2404247023': -88.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
775.0,'2404247020': -27.0, '2404247023': -142.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
800.0,'2404247020': -38.0, '2404247023': -41.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 3,
825.0,'2404247020': -9.0, '2404247023': -18.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
850.0,'2404247020': -70.0, '2404247023': -26.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 1,
875.0,'2404247020': -14.0, '2404247023': -22.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
900.0,'2404247020': -3.0, '2404247023': -49.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
925.0,'2404247020': -9.0, '2404247023': -43.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
950.0,'2404247020': -23.0, '2404247023': -7.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
975.0,'2404247020': -55.0, '2404247023': -59.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 5,
1000.0,'2404247020': -42.0, '2404247023': -54.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 3,
1025.0,'2404247020': -39.0, '2404247023': -36.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
1050.0,'2404247020': -152.0, '2404247023': -65.0,'2404247020': 3, '2404247023': 1,'2404247020': 8, '2404247023': 2,
1075.0,'2404247020': 0, '2404247023': -28.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 4,
1100.0,'2404247020': -40.0, '2404247023': 0,'2404247020': 3, '2404247023': 0,'2404247020': 4, '2404247023': 0,
1125.0,'2404247020': -83.0, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 7, '2404247023': 0,
1150.0,'2404247020': -2.0, '2404247023': -11.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
1175.0,'2404247020': -25.0, '2404247023': -67.0,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1200.0,'2404247020': -27.0, '2404247023': -36.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
1225.0,'2404247020': -64.0, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 5, '2404247023': 0,
1250.0,'2404247020': -70.0, '2404247023': -12.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
1275.0,'2404247020': -204.0, '2404247023': -26.0,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 2,
1300.0,'2404247020': -45.0, '2404247023': -29.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
1325.0,'2404247020': -23.0, '2404247023': -39.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1350.0,'2404247020': -11.0, '2404247023': -114.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1375.0,'2404247020': -22.0, '2404247023': -108.0,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1400.0,'2404247020': -7.0, '2404247023': -15.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
1425.0,'2404247020': -9.0, '2404247023': -44.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1450.0,'2404247020': -26.0, '2404247023': -14.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
1475.0,'2404247020': 0, '2404247023': -19.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 1,
1500.0,'2404247020': -30.0, '2404247023': -34.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
1525.0,'2404247020': -115.0, '2404247023': -10.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
1550.0,'2404247020': -215.0, '2404247023': -9.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
1575.0,'2404247020': -20.0, '2404247023': -14.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
1600.0,'2404247020': -24.0, '2404247023': -83.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
1625.0,'2404247020': -39.0, '2404247023': -54.0,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1650.0,'2404247020': -29.0, '2404247023': -20.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1675.0,'2404247020': -10.0, '2404247023': -100.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
1700.0,'2404247020': -36.0, '2404247023': -200.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
1725.0,'2404247020': -52.0, '2404247023': -1.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
1750.0,'2404247020': -11.0, '2404247023': -1.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
1775.0,'2404247020': -13.0, '2404247023': -127.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
1800.0,'2404247020': 0, '2404247023': -189.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
