1300.0,'2404247020': -21.0, '2404247023': -14.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
1325.0,'2404247020': -11.0, '2404247023': -34.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
1350.0,'2404247020': -45.0, '2404247023': -2.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
1375.0,'2404247020': 0, '2404247023': -21.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
1400.0,'2404247020': -7.0, '2404247023': -9.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
1425.0,'2404247020': -34.0, '2404247023': -19.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
1450.0,'2404247020': -21.0, '2404247023': -35.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
1475.0,'2404247020': -52.0, '2404247023': -12.0,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 1,
1500.0,'2404247020': -34.0, '2404247023': -10.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
1525.0,'2404247020': -47.0, '2404247023': -30.0,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 3,
1550.0,'2404247020': 0, '2404247023': -46.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 5,
1575.0,'2404247020': -14.0, '2404247023': -74.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 4,
1600.0,'2404247020': -31.0, '2404247023': -98.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1625.0,'2404247020': -23.0, '2404247023': -11.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
1650.0,'2404247020': -16.0, '2404247023': -43.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
1675.0,'2404247020': -22.0, '2404247023': -15.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
1700.0,'2404247020': -72.0, '2404247023': -61.0,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 5,
1725.0,'2404247020': 0, '2404247023': -48.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 5,
1750.0,'2404247020': -23.0, '2404247023': -50.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1775.0,'2404247020': -13.0, '2404247023': -95.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1800.0,'2404247020': -1.0, '2404247023': -40.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
