1275.0,'2404247020': -57.0, '2404247023': -12.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 1,
1300.0,'2404247020': -22.0, '2404247023': -56.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
1325.0,'2404247020': -91.0, '2404247023': -92.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
1350.0,'2404247020': -11.0, '2404247023': -23.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
1375.0,'2404247020': -61.0, '2404247023': -123.0,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 5,
1400.0,'2404247020': -13.0, '2404247023': -230.0,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 6,
1425.0,'2404247020': -21.0, '2404247023': -110.0,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 6,
1450.0,'2404247020': -46.0, '2404247023': -39.0,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 4,
1475.0,'2404247020': -39.0, '2404247023': -154.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
1500.0,'2404247020': -183.0, '2404247023': -10.0,'2404247020': 3, '2404247023': 1,'2404247020': 8, '2404247023': 2,
1525.0,'2404247020': -17.0, '2404247023': -13.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
1550.0,'2404247020': -67.0, '2404247023': -45.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
1575.0,'2404247020': -22.0, '2404247023': -152.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 7,
1600.0,'2404247020': -26.0, '2404247023': -84.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
1625.0,'2404247020': -5.0, '2404247023': -135.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
1650.0,'2404247020': 0, '2404247023': -260.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 5,
1675.0,'2404247020': -57.0, '2404247023': -19.0,'2404247020': 2, '2404247023': 1,'2404247020': 7, '2404247023': 2,
1700.0,'2404247020': 0, '2404247023': -9.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 2,
1725.0,'2404247020': -18.0, '2404247023': -32.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1750.0,'2404247020': -66.0, '2404247023': -39.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
1775.0,'2404247020': -141.0, '2404247023': -77.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1800.0,'2404247020': -216.0, '2404247023': -203.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
1825.0,'2404247020': -291.0, '2404247023': -370.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 8,
1850.0,'2404247020': -25.0, '2404247023': -351.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 10,
1875.0,'2404247020': -65.0, '2404247023': -494.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 9,
1900.0,'2404247020': -35.0, '2404247023': -493.0,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 8,
1925.0,'2404247020': -144.0, '2404247023': -203.0,'2404247020': 2, '2404247023': 2,'2404247020': 6, '2404247023': 5,
1950.0,'2404247020': -22.0, '2404247023': -140.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
1975.0,'2404247020': -35.0, '2404247023': -63.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2000.0,'2404247020': -4.0, '2404247023': -29.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2025.0,'2404247020': -99.0, '2404247023': -48.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
2050.0,'2404247020': -48.0, '2404247023': -81.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 5,
2075.0,'2404247020': -13.0, '2404247023': -112.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
2100.0,'2404247020': -14.0, '2404247023': -38.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
2125.0,'2404247020': -10.0, '2404247023': -43.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
2150.0,'2404247020': -44.0, '2404247023': -93.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2175.0,'2404247020': -174.0, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 7, '2404247023': 0,
2200.0,'2404247020': -17.0, '2404247023': -34.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 3,
2225.0,'2404247020': -69.0, '2404247023': -21.0,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 1,
2250.0,'2404247020': -252.0, '2404247023': -18.0,'2404247020': 3, '2404247023': 1,'2404247020': 9, '2404247023': 1,
2275.0,'2404247020': -489.0, '2404247023': -7.0,'2404247020': 4, '2404247023': 1,'2404247020': 11, '2404247023': 1,
2300.0,'2404247020': -1.0, '2404247023': -93.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
2325.0,'2404247020': -12.0, '2404247023': -76.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
2350.0,'2404247020': -37.0, '2404247023': -24.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
2375.0,'2404247020': -17.0, '2404247023': -50.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
2400.0,'2404247020': -80.0, '2404247023': -19.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 1,
2425.0,'2404247020': -160.0, '2404247023': -81.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
2450.0,'2404247020': -90.0, '2404247023': -36.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
2475.0,'2404247020': -40.0, '2404247023': -1.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
2500.0,'2404247020': 0, '2404247023': -13.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 1,
2525.0,'2404247020': -19.0, '2404247023': -46.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
2550.0,'2404247020': -21.0, '2404247023': -78.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
2575.0,'2404247020': -12.0, '2404247023': -169.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
2600.0,'2404247020': -89.0, '2404247023': -74.0,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 4,
2625.0,'2404247020': -46.0, '2404247023': -212.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 7,
2650.0,'2404247020': -28.0, '2404247023': -267.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
2675.0,'2404247020': -17.0, '2404247023': -350.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
2700.0,'2404247020': -39.0, '2404247023': -432.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 5,
2725.0,'2404247020': -9.0, '2404247023': -136.0,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 6,
2750.0,'2404247020': -94.0, '2404247023': -214.0,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 5,
2775.0,'2404247020': -27.0, '2404247023': -249.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
2800.0,'2404247020': -9.0, '2404247023': -216.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 7,
2825.0,'2404247020': 0, '2404247023': -439.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 10,
2850.0,'2404247020': -63.0, '2404247023': -64.0,'2404247020': 1, '2404247023': 1,'2404247020': 4, '2404247023': 3,
2875.0,'2404247020': -19.0, '2404247023': -90.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
2900.0,'2404247020': -18.0, '2404247023': -37.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
2925.0,'2404247020': -13.0, '2404247023': -5.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
2950.0,'2404247020': -11.0, '2404247023': -30.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
2975.0,'2404247020': -18.0, '2404247023': -61.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3000.0,'2404247020': -41.0, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 4, '2404247023': 0,
3025.0,'2404247020': -15.0, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
3050.0,'2404247020': -69.0, '2404247023': -12.0,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 1,
3075.0,'2404247020': -18.0, '2404247023': -22.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3100.0,'2404247020': -87.0, '2404247023': -16.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
3125.0,'2404247020': -12.0, '2404247023': -75.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
3150.0,'2404247020': -110.0, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 5, '2404247023': 0,
3175.0,'2404247020': -35.0, '2404247023': -25.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
3200.0,'2404247020': -131.0, '2404247023': -19.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
3225.0,'2404247020': -266.0, '2404247023': -7.0,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 1,
3250.0,'2404247020': -42.0, '2404247023': -81.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 4,
3275.0,'2404247020': -9.0, '2404247023': -55.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
3300.0,'2404247020': -38.0, '2404247023': -42.0,'2404247020': 1, '2404247023': 2,'2404247020': 4, '2404247023': 3,
3325.0,'2404247020': -138.0, '2404247023': -75.0,'2404247020': 1, '2404247023': 1,'2404247020': 4, '2404247023': 3,
3350.0,'2404247020': -15.0, '2404247023': -93.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
3375.0,'2404247020': -18.0, '2404247023': -81.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
3400.0,'2404247020': -32.0, '2404247023': -243.0,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 7,
3425.0,'2404247020': -9.0, '2404247023': -448.0,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 10,
3450.0,'2404247020': -68.0, '2404247023': -312.0,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
3475.0,'2404247020': -31.0, '2404247023': -32.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
3500.0,'2404247020': -37.0, '2404247023': -112.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 6,
3525.0,'2404247020': -98.0, '2404247023': -140.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
3550.0,'2404247020': -54.0, '2404247023': -38.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
3575.0,'2404247020': -37.0, '2404247023': -47.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
3600.0,'2404247020': -26.0, '2404247023': -19.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
