25.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -11.0, '2404247023': -20.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
75.0,'2404247020': -7.0, '2404247023': -12.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
100.0,'2404247020': -9.0, '2404247023': -74.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
125.0,'2404247020': -87.0, '2404247023': -15.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
150.0,'2404247020': -31.0, '2404247023': -46.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
175.0,'2404247020': -23.0, '2404247023': -7.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
200.0,'2404247020': -13.0, '2404247023': -56.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
225.0,'2404247020': -24.0, '2404247023': -5.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
250.0,'2404247020': -92.0, '2404247023': -40.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
275.0,'2404247020': 0, '2404247023': -54.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 3,
300.0,'2404247020': -40.0, '2404247023': -44.0,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 3,
325.0,'2404247020': 0, '2404247023': -119.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 3,
350.0,'2404247020': -35.0, '2404247023': -30.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
375.0,'2404247020': -5.0, '2404247023': -60.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
400.0,'2404247020': -24.0, '2404247023': -5.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
425.0,'2404247020': -41.0, '2404247023': -21.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
450.0,'2404247020': -33.0, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 3, '2404247023': 0,
475.0,'2404247020': -31.0, '2404247023': -40.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
500.0,'2404247020': -12.0, '2404247023': -40.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
525.0,'2404247020': -20.0, '2404247023': -17.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
550.0,'2404247020': -15.0, '2404247023': -20.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
