25.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -5.0, '2404247023': -18.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
75.0,'2404247020': -23.0, '2404247023': -121.0,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 8,
100.0,'2404247020': -118.0, '2404247023': -80.0,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 2,
125.0,'2404247020': -30.0, '2404247023': -33.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
150.0,'2404247020': -10.0, '2404247023': -104.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
175.0,'2404247020': -36.0, '2404247023': -125.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
200.0,'2404247020': -34.0, '2404247023': -209.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
225.0,'2404247020': -4.0, '2404247023': -342.0,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 6,
250.0,'2404247020': -5.0, '2404247023': -492.0,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 6,
275.0,'2404247020': -11.0, '2404247023': -56.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
300.0,'2404247020': -8.0, '2404247023': -112.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
325.0,'2404247020': 0, '2404247023': -33.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 1,
350.0,'2404247020': -8.0, '2404247023': -34.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
375.0,'2404247020': -9.0, '2404247023': -17.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
400.0,'2404247020': -16.0, '2404247023': -13.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
425.0,'2404247020': -15.0, '2404247023': -85.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 3,
450.0,'2404247020': -34.0, '2404247023': -85.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 4,
475.0,'2404247020': -12.0, '2404247023': -10.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
500.0,'2404247020': -3.0, '2404247023': -92.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
525.0,'2404247020': -1.0, '2404247023': -16.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
550.0,'2404247020': -7.0, '2404247023': -12.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
575.0,'2404247020': -6.0, '2404247023': -69.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
600.0,'2404247020': 0, '2404247023': -47.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
625.0,'2404247020': 0, '2404247023': -59.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
650.0,'2404247020': -35.0, '2404247023': -107.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
675.0,'2404247020': -30.0, '2404247023': -271.0,'2404247020': 1, '2404247023': 4,'2404247020': 3, '2404247023': 8,
700.0,'2404247020': -142.0, '2404247023': -471.0,'2404247020': 3, '2404247023': 4,'2404247020': 6, '2404247023': 8,
725.0,'2404247020': -22.0, '2404247023': -297.0,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 6,
750.0,'2404247020': -96.0, '2404247023': -448.0,'2404247020': 3, '2404247023': 3,'2404247020': 3, '2404247023': 7,
775.0,'2404247020': -53.0, '2404247023': -645.0,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 10,
800.0,'2404247020': -15.0, '2404247023': -901.0,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 11,
