25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.013392857, '2404247023': -0.071428575,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
75.0,'2404247020': -0.02232143, '2404247023': -0.20982143,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
100.0,'2404247020': -0.23660715, '2404247023': -0.75,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 6,
125.0,'2404247020': -0.6785714, '2404247023': -1.4419643,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 7,
150.0,'2404247020': -0.09821428, '2404247023': -1.6830357,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
175.0,'2404247020': -0.45982143, '2404247023': 0.0,'2404247020': 2, '2404247023': 0,'2404247020': 5, '2404247023': 0,
200.0,'2404247020': -1.0178572, '2404247023': -0.17857143,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 4,
225.0,'2404247020': -0.11160714, '2404247023': -0.04910714,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 2,
250.0,'2404247020': -0.53125, '2404247023': -0.49107143,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
275.0,'2404247020': -1.0848215, '2404247023': -1.125,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
300.0,'2404247020': -1.6428572, '2404247023': -0.8526786,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
325.0,'2404247020': -2.267857, '2404247023': -1.5401785,'2404247020': 3, '2404247023': 2,'2404247020': 7, '2404247023': 7,
350.0,'2404247020': -0.03125, '2404247023': -1.8660715,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 9,
375.0,'2404247020': 0.0, '2404247023': -2.2767856,'2404247020': 0, '2404247023': 4,'2404247020': 0, '2404247023': 11,
400.0,'2404247020': -0.17410715, '2404247023': -0.3125,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
425.0,'2404247020': -0.116071425, '2404247023': -0.51339287,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 6,
450.0,'2404247020': -0.25892857, '2404247023': -0.63839287,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
475.0,'2404247020': -0.13839285, '2404247023': -0.08035714,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
500.0,'2404247020': -0.08928572, '2404247023': -0.4375,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 5,
525.0,'2404247020': -0.39732143, '2404247023': -0.3080357,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 3,
550.0,'2404247020': -0.16517857, '2404247023': -0.4107143,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
575.0,'2404247020': -0.058035713, '2404247023': -0.12053572,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
600.0,'2404247020': -0.5401786, '2404247023': -0.52678573,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
625.0,'2404247020': 0.0, '2404247023': -0.4732143,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 8,
650.0,'2404247020': -0.084821425, '2404247023': -1.4464285,'2404247020': 1, '2404247023': 4,'2404247020': 2, '2404247023': 10,
675.0,'2404247020': -0.125, '2404247023': -2.888393,'2404247020': 1, '2404247023': 6,'2404247020': 3, '2404247023': 14,
700.0,'2404247020': 0.0, '2404247023': -3.1339285,'2404247020': 0, '2404247023': 5,'2404247020': 0, '2404247023': 12,
725.0,'2404247020': -0.12946428, '2404247023': -2.3973215,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 11,
750.0,'2404247020': -0.35267857, '2404247023': -3.075893,'2404247020': 2, '2404247023': 4,'2404247020': 2, '2404247023': 9,
775.0,'2404247020': -0.6473214, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 11,
800.0,'2404247020': -1.0133928, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 4, '2404247023': 13,
825.0,'2404247020': -1.4598215, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 4, '2404247023': 13,
850.0,'2404247020': -1.9375, '2404247023': -4.0,'2404247020': 3, '2404247023': 6,'2404247020': 5, '2404247023': 15,
875.0,'2404247020': -0.071428575, '2404247023': -4.0,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 12,
900.0,'2404247020': -0.34375, '2404247023': -4.0,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 9,
925.0,'2404247020': -0.90178573, '2404247023': -4.0,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 9,
950.0,'2404247020': -1.4598215, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 9,
975.0,'2404247020': -2.017857, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 10,
1000.0,'2404247020': -0.20535715, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 4, '2404247023': 12,
1025.0,'2404247020': -0.29464287, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 3, '2404247023': 15,
1050.0,'2404247020': -0.18303572, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 5, '2404247023': 18,
1075.0,'2404247020': -0.15178572, '2404247023': -0.8660714,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 6,
1100.0,'2404247020': -0.17857143, '2404247023': -1.3526785,'2404247020': 1, '2404247023': 3,'2404247020': 4, '2404247023': 10,
1125.0,'2404247020': -0.08928572, '2404247023': -2.111607,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 8,
1150.0,'2404247020': -0.46875, '2404247023': -0.41964287,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 3,
1175.0,'2404247020': -0.15178572, '2404247023': -0.47767857,'2404247020': 1, '2404247023': 2,'2404247020': 4, '2404247023': 3,
1200.0,'2404247020': -0.67410713, '2404247023': -0.875,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 4,
1225.0,'2404247020': -1.6294643, '2404247023': -1.5803572,'2404247020': 2, '2404247023': 3,'2404247020': 10, '2404247023': 9,
