1225.0,'2404247020': -3.1339285, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 20,
1250.0,'2404247020': -0.16071428, '2404247023': -3.6339285,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 8,
1275.0,'2404247020': -0.59821427, '2404247023': -3.544643,'2404247020': 3, '2404247023': 2,'2404247020': 9, '2404247023': 7,
1300.0,'2404247020': -1.4732143, '2404247023': -0.6875,'2404247020': 5, '2404247023': 2,'2404247020': 13, '2404247023': 5,
1325.0,'2404247020': -1.375, '2404247023': -1.1205357,'2404247020': 2, '2404247023': 3,'2404247020': 7, '2404247023': 11,
1350.0,'2404247020': -1.2991072, '2404247023': -1.4196428,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 10,
1375.0,'2404247020': -1.8571428, '2404247023': -2.763393,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 13,
1400.0,'2404247020': -2.4151785, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 5, '2404247023': 17,
1425.0,'2404247020': -2.9732144, '2404247023': -4.0,'2404247020': 2, '2404247023': 6,'2404247020': 5, '2404247023': 19,
1450.0,'2404247020': -1.7232143, '2404247023': -4.0,'2404247020': 2, '2404247023': 7,'2404247020': 4, '2404247023': 19,
1475.0,'2404247020': -2.205357, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 7, '2404247023': 17,
1500.0,'2404247020': -3.3080356, '2404247023': -4.0,'2404247020': 6, '2404247023': 7,'2404247020': 12, '2404247023': 20,
1525.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 10, '2404247023': 7,'2404247020': 16, '2404247023': 19,
1550.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 11, '2404247023': 8,'2404247020': 18, '2404247023': 16,
1575.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 12, '2404247023': 9,'2404247020': 19, '2404247023': 19,
1600.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 12, '2404247023': 8,'2404247020': 20, '2404247023': 19,
1625.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 5, '2404247023': 6,'2404247020': 13, '2404247023': 17,
1650.0,'2404247020': -0.47767857, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 3, '2404247023': 13,
1675.0,'2404247020': -1.0267857, '2404247023': -4.0,'2404247020': 3, '2404247023': 5,'2404247020': 5, '2404247023': 9,
1700.0,'2404247020': -1.5848215, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 10,
1725.0,'2404247020': -2.142857, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 5, '2404247023': 15,
1750.0,'2404247020': -2.700893, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 5, '2404247023': 18,
1775.0,'2404247020': -3.2589285, '2404247023': -4.0,'2404247020': 2, '2404247023': 6,'2404247020': 5, '2404247023': 21,
