25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.09375, '2404247023': -0.013392857,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
75.0,'2404247020': -0.035714287, '2404247023': -0.23214285,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
100.0,'2404247020': -0.29017857, '2404247023': -0.82589287,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 7,
125.0,'2404247020': -0.2544643, '2404247023': -1.0982143,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
150.0,'2404247020': -0.07589286, '2404247023': -1.90625,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 9,
175.0,'2404247020': -0.0625, '2404247023': -0.03125,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
200.0,'2404247020': -0.39285713, '2404247023': -0.16517857,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
225.0,'2404247020': -0.9285714, '2404247023': -0.026785715,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
250.0,'2404247020': -1.4866072, '2404247023': -0.20982143,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
275.0,'2404247020': -2.044643, '2404247023': -0.4732143,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
300.0,'2404247020': -2.6026785, '2404247023': -1.0535715,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 6,
325.0,'2404247020': -3.1607144, '2404247023': -1.4330357,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 6,
350.0,'2404247020': -0.035714287, '2404247023': -2.34375,'2404247020': 1, '2404247023': 5,'2404247020': 1, '2404247023': 11,
375.0,'2404247020': -0.26785713, '2404247023': -0.66071427,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 9,
400.0,'2404247020': -0.82589287, '2404247023': -1.5848215,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 10,
425.0,'2404247020': -0.1875, '2404247023': -1.8080357,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 9,
450.0,'2404247020': -0.17410715, '2404247023': -2.1026785,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 7,
475.0,'2404247020': -0.6160714, '2404247023': -2.174107,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 9,
500.0,'2404247020': -1.0669643, '2404247023': -2.90625,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 11,
525.0,'2404247020': -1.5089285, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 11,
550.0,'2404247020': -1.9553572, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 12,
575.0,'2404247020': -2.4017856, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 4, '2404247023': 14,
600.0,'2404247020': -2.8482144, '2404247023': -4.0,'2404247020': 2, '2404247023': 6,'2404247020': 4, '2404247023': 18,
625.0,'2404247020': 0.0, '2404247023': -4.0,'2404247020': 0, '2404247023': 8,'2404247020': 0, '2404247023': 24,
650.0,'2404247020': -0.03125, '2404247023': -4.0,'2404247020': 1, '2404247023': 10,'2404247020': 1, '2404247023': 26,
675.0,'2404247020': 0.0, '2404247023': -4.0,'2404247020': 0, '2404247023': 11,'2404247020': 0, '2404247023': 28,
700.0,'2404247020': 0.0, '2404247023': -4.0,'2404247020': 0, '2404247023': 11,'2404247020': 0, '2404247023': 29,
725.0,'2404247020': -0.09375, '2404247023': -4.0,'2404247020': 1, '2404247023': 12,'2404247020': 1, '2404247023': 32,
750.0,'2404247020': -0.12053572, '2404247023': -4.0,'2404247020': 3, '2404247023': 11,'2404247020': 3, '2404247023': 28,
775.0,'2404247020': -0.16517857, '2404247023': -4.0,'2404247020': 2, '2404247023': 11,'2404247020': 2, '2404247023': 30,
800.0,'2404247020': -0.57589287, '2404247023': -4.0,'2404247020': 2, '2404247023': 11,'2404247020': 5, '2404247023': 29,
825.0,'2404247020': -0.084821425, '2404247023': -4.0,'2404247020': 1, '2404247023': 10,'2404247020': 2, '2404247023': 23,
850.0,'2404247020': -0.49107143, '2404247023': -4.0,'2404247020': 3, '2404247023': 6,'2404247020': 6, '2404247023': 12,
875.0,'2404247020': -1.1607143, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 6, '2404247023': 15,
900.0,'2404247020': -0.013392857, '2404247023': -4.0,'2404247020': 1, '2404247023': 7,'2404247020': 1, '2404247023': 20,
925.0,'2404247020': -0.20535715, '2404247023': -4.0,'2404247020': 3, '2404247023': 5,'2404247020': 4, '2404247023': 13,
950.0,'2404247020': -0.84821427, '2404247023': -4.0,'2404247020': 3, '2404247023': 5,'2404247020': 6, '2404247023': 13,
975.0,'2404247020': -1.5178572, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 6, '2404247023': 10,
1000.0,'2404247020': -2.1875, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 6, '2404247023': 13,
1025.0,'2404247020': -0.071428575, '2404247023': -4.0,'2404247020': 1, '2404247023': 5,'2404247020': 1, '2404247023': 15,
1050.0,'2404247020': -0.3482143, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 7, '2404247023': 10,
1075.0,'2404247020': -0.70535713, '2404247023': -4.0,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 8,
1100.0,'2404247020': -0.39732143, '2404247023': -2.9330356,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
1125.0,'2404247020': -0.67410713, '2404247023': -2.986607,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 8,
1150.0,'2404247020': -1.2321428, '2404247023': -3.4776785,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
1175.0,'2404247020': -1.7901785, '2404247023': -3.9598215,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 7,
1200.0,'2404247020': -2.3482144, '2404247023': -4.0,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 12,
1225.0,'2404247020': -2.96875, '2404247023': -4.0,'2404247020': 3, '2404247023': 5,'2404247020': 6, '2404247023': 14,
