25.0,'2404247020': -0.035714287, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -0.017857144, '2404247023': -0.07589286,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
75.0,'2404247020': -0.48660713, '2404247023': -0.04017857,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
100.0,'2404247020': -0.04910714, '2404247023': -0.33482143,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
125.0,'2404247020': -0.17410715, '2404247023': -0.19642857,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
150.0,'2404247020': -0.61160713, '2404247023': -0.39285713,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
175.0,'2404247020': -1.0848215, '2404247023': -0.4330357,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 2,
200.0,'2404247020': -1.6428572, '2404247023': -0.58928573,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 3,
225.0,'2404247020': -2.200893, '2404247023': -1.2410715,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 8,
250.0,'2404247020': -0.08035714, '2404247023': -1.0178572,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 11,
275.0,'2404247020': -0.08928572, '2404247023': -1.7544643,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 11,
300.0,'2404247020': -0.45982143, '2404247023': -1.6473215,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 8,
325.0,'2404247020': 0.0, '2404247023': -2.236607,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 10,
350.0,'2404247020': -0.33035713, '2404247023': -1.9598215,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 7,
375.0,'2404247020': -0.017857144, '2404247023': -1.5401785,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 8,
400.0,'2404247020': -0.25, '2404247023': -1.4330357,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 10,
425.0,'2404247020': -0.008928572, '2404247023': -2.6517856,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 12,
450.0,'2404247020': -0.071428575, '2404247023': -3.5669644,'2404247020': 1, '2404247023': 4,'2404247020': 2, '2404247023': 12,
475.0,'2404247020': -0.14285715, '2404247023': -1.1339285,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 6,
500.0,'2404247020': -0.017857144, '2404247023': -1.6830357,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 7,
525.0,'2404247020': -0.07589286, '2404247023': -0.3482143,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
550.0,'2404247020': -0.41517857, '2404247023': -0.62053573,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 3,
575.0,'2404247020': 0.0, '2404247023': -1.2633928,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 9,
600.0,'2404247020': -0.09821428, '2404247023': -2.4107144,'2404247020': 2, '2404247023': 5,'2404247020': 2, '2404247023': 12,
625.0,'2404247020': -0.48660713, '2404247023': -1.8392857,'2404247020': 3, '2404247023': 5,'2404247020': 5, '2404247023': 6,
650.0,'2404247020': -1.1205357, '2404247023': -2.7455356,'2404247020': 3, '2404247023': 5,'2404247020': 6, '2404247023': 11,
675.0,'2404247020': -1.7901785, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 6, '2404247023': 15,
700.0,'2404247020': -2.4598215, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 6, '2404247023': 17,
725.0,'2404247020': -3.1294644, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 6, '2404247023': 18,
750.0,'2404247020': -3.799107, '2404247023': -4.0,'2404247020': 3, '2404247023': 8,'2404247020': 6, '2404247023': 19,
775.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 3, '2404247023': 8,'2404247020': 6, '2404247023': 21,
800.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 3, '2404247023': 8,'2404247020': 6, '2404247023': 22,
825.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 3, '2404247023': 9,'2404247020': 9, '2404247023': 21,
850.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 4, '2404247023': 10,'2404247020': 10, '2404247023': 23,
875.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 7, '2404247023': 10,'2404247020': 13, '2404247023': 23,
900.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 8, '2404247023': 10,'2404247020': 14, '2404247023': 24,
925.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 9, '2404247023': 10,'2404247020': 15, '2404247023': 24,
950.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 9, '2404247023': 10,'2404247020': 15, '2404247023': 25,
975.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 12, '2404247023': 11,'2404247020': 18, '2404247023': 25,
1000.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 14, '2404247023': 11,'2404247020': 14, '2404247023': 25,
1025.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 15, '2404247023': 10,'2404247020': 21, '2404247023': 22,
1050.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 19, '2404247023': 10,'2404247020': 25, '2404247023': 23,
1075.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 19, '2404247023': 10,'2404247020': 26, '2404247023': 22,
1100.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 21, '2404247023': 11,'2404247020': 28, '2404247023': 25,
1125.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 11,'2404247020': 32, '2404247023': 25,
1150.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 11,'2404247020': 34, '2404247023': 25,
1175.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 12,'2404247020': 36, '2404247023': 27,
1200.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 12,'2404247020': 37, '2404247023': 28,
1225.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 14,'2404247020': 40, '2404247023': 31,
1250.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 14,'2404247020': 44, '2404247023': 32,
1275.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 13,'2404247020': 49, '2404247023': 30,
1300.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 15,'2404247020': 51, '2404247023': 33,
1325.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 16,'2404247020': 52, '2404247023': 35,
1350.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 16,'2404247020': 52, '2404247023': 36,
1375.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 52, '2404247023': 38,
1400.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 52, '2404247023': 38,
1425.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 52, '2404247023': 38,
1450.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 52, '2404247023': 39,
1475.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 53, '2404247023': 38,
1500.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 53, '2404247023': 38,
1525.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 56, '2404247023': 38,
1550.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 56, '2404247023': 38,
1575.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 56, '2404247023': 39,
1600.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 57, '2404247023': 38,
1625.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 57, '2404247023': 39,
1650.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 57, '2404247023': 38,
1675.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 57, '2404247023': 38,
1700.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 57, '2404247023': 38,
1725.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 57, '2404247023': 40,
1750.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 58, '2404247023': 38,
1775.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 58, '2404247023': 38,
1800.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 58, '2404247023': 38,
1825.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 38,
1850.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 38,
1875.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 38,
1900.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 38,
1925.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 38,
1950.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 38,
1975.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 38,
2000.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 38,
2025.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 39,
2050.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 41,
2075.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 42,
2100.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 43,
2125.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 44,
2150.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 60, '2404247023': 45,
2175.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 47,
2200.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 49,
2225.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 52,
2250.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 52,
2275.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2300.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2325.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2350.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2375.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2400.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2425.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2450.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2475.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2500.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2525.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2550.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2575.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
2600.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 59, '2404247023': 54,
