25.0,'2404247020': -0.03125, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -0.04464286, '2404247023': -0.04910714,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
75.0,'2404247020': -0.53125, '2404247023': -0.33482143,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
100.0,'2404247020': -1.1785715, '2404247023': -0.17857143,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 3,
125.0,'2404247020': -0.125, '2404247023': -0.16964285,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
150.0,'2404247020': -0.23660715, '2404247023': -0.12946428,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
175.0,'2404247020': -0.2857143, '2404247023': -0.33035713,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 4,
200.0,'2404247020': -0.80803573, '2404247023': -0.45982143,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 6,
225.0,'2404247020': -1.5580357, '2404247023': -0.4017857,'2404247020': 2, '2404247023': 1,'2404247020': 8, '2404247023': 4,
250.0,'2404247020': -0.11160714, '2404247023': -0.34375,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
275.0,'2404247020': -0.54464287, '2404247023': -0.16517857,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
300.0,'2404247020': -1.1026785, '2404247023': -0.08035714,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
325.0,'2404247020': 0.0, '2404247023': -0.116071425,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 4,
350.0,'2404247020': -0.2767857, '2404247023': -0.42857143,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
375.0,'2404247020': -0.8348214, '2404247023': -0.83928573,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 4,
400.0,'2404247020': -0.071428575, '2404247023': -1.59375,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 9,
425.0,'2404247020': -0.29464287, '2404247023': -1.8348215,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 6,
450.0,'2404247020': -0.89285713, '2404247023': -0.20089285,'2404247020': 3, '2404247023': 1,'2404247020': 7, '2404247023': 1,
475.0,'2404247020': -0.116071425, '2404247023': -0.026785715,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
500.0,'2404247020': -0.36160713, '2404247023': -0.26785713,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 4,
525.0,'2404247020': -0.80803573, '2404247023': -0.3392857,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
550.0,'2404247020': -0.035714287, '2404247023': -0.55803573,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
575.0,'2404247020': -0.035714287, '2404247023': -0.77678573,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 5,
600.0,'2404247020': -0.3169643, '2404247023': -1.59375,'2404247020': 3, '2404247023': 3,'2404247020': 3, '2404247023': 9,
