25.0,'2404247020': -0.03125, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -0.28125, '2404247023': -0.04464286,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
75.0,'2404247020': -0.14285715, '2404247023': -0.21428572,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
100.0,'2404247020': -0.5625, '2404247023': -0.5625,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
125.0,'2404247020': -0.13839285, '2404247023': -0.85714287,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 7,
150.0,'2404247020': -0.45089287, '2404247023': -0.58928573,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
175.0,'2404247020': 0.0, '2404247023': -1.4642857,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 9,
200.0,'2404247020': -0.10714286, '2404247023': -1.6071428,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 8,
225.0,'2404247020': -0.5223214, '2404247023': -2.607143,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 10,
250.0,'2404247020': -0.08928572, '2404247023': -0.02232143,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
275.0,'2404247020': -0.20089285, '2404247023': -0.125,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
300.0,'2404247020': -0.17410715, '2404247023': -0.3482143,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
325.0,'2404247020': -0.6651786, '2404247023': -0.60714287,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
350.0,'2404247020': -1.3214285, '2404247023': -1.0982143,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
375.0,'2404247020': -1.9910715, '2404247023': -0.39732143,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
400.0,'2404247020': -0.04910714, '2404247023': -0.9598214,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 9,
425.0,'2404247020': -0.29464287, '2404247023': -2.080357,'2404247020': 1, '2404247023': 4,'2404247020': 4, '2404247023': 11,
450.0,'2404247020': -0.11160714, '2404247023': -3.325893,'2404247020': 1, '2404247023': 5,'2404247020': 2, '2404247023': 12,
475.0,'2404247020': -0.04464286, '2404247023': -1.1741072,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 6,
500.0,'2404247020': -0.16964285, '2404247023': -1.6651785,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 7,
525.0,'2404247020': -0.102678575, '2404247023': -0.5625,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
550.0,'2404247020': -0.14285715, '2404247023': -0.29464287,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
575.0,'2404247020': 0.0, '2404247023': -0.45535713,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
600.0,'2404247020': -0.26339287, '2404247023': -1.0223215,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
625.0,'2404247020': -0.80803573, '2404247023': -0.6651786,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 7,
650.0,'2404247020': -0.02232143, '2404247023': -1.6383928,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 11,
675.0,'2404247020': 0.0, '2404247023': -3.1964285,'2404247020': 0, '2404247023': 6,'2404247020': 0, '2404247023': 15,
700.0,'2404247020': -0.004464286, '2404247023': -4.0,'2404247020': 1, '2404247023': 6,'2404247020': 1, '2404247023': 16,
725.0,'2404247020': -0.013392857, '2404247023': -3.59375,'2404247020': 1, '2404247023': 5,'2404247020': 1, '2404247023': 13,
750.0,'2404247020': -0.17857143, '2404247023': -4.0,'2404247020': 2, '2404247023': 6,'2404247020': 2, '2404247023': 12,
775.0,'2404247020': -0.058035713, '2404247023': -4.0,'2404247020': 1, '2404247023': 5,'2404247020': 1, '2404247023': 11,
800.0,'2404247020': -0.13839285, '2404247023': -4.0,'2404247020': 1, '2404247023': 5,'2404247020': 2, '2404247023': 11,
825.0,'2404247020': -0.36160713, '2404247023': -4.0,'2404247020': 1, '2404247023': 5,'2404247020': 2, '2404247023': 13,
850.0,'2404247020': -0.66964287, '2404247023': -3.6517856,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 8,
875.0,'2404247020': -0.16964285, '2404247023': -2.5848215,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 6,
900.0,'2404247020': -0.08928572, '2404247023': -3.174107,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 7,
925.0,'2404247020': -0.38839287, '2404247023': -4.0,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 9,
950.0,'2404247020': -0.8973214, '2404247023': -2.4732144,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
975.0,'2404247020': -0.18303572, '2404247023': -1.7767857,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 4,
1000.0,'2404247020': -0.78125, '2404247023': -1.6696428,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 3,
1025.0,'2404247020': -0.1875, '2404247023': -0.15625,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 3,
1050.0,'2404247020': -0.23660715, '2404247023': -0.49107143,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 3,
1075.0,'2404247020': 0.0, '2404247023': -0.8526786,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 5,
1100.0,'2404247020': -0.09821428, '2404247023': -1.1651785,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 4,
1125.0,'2404247020': -0.14732143, '2404247023': -0.33035713,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1150.0,'2404247020': -0.004464286, '2404247023': -0.04910714,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
