25.0,'2404247020': -0.035714287, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -0.058035713, '2404247023': -0.08035714,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
75.0,'2404247020': -0.49107143, '2404247023': -0.20982143,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
100.0,'2404247020': -1.0491072, '2404247023': -0.91071427,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 8,
125.0,'2404247020': -0.08035714, '2404247023': -0.48214287,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
150.0,'2404247020': -0.4732143, '2404247023': -1.0223215,'2404247020': 1, '2404247023': 3,'2404247020': 4, '2404247023': 8,
175.0,'2404247020': -1.1875, '2404247023': -0.21875,'2404247020': 3, '2404247023': 1,'2404247020': 8, '2404247023': 1,
200.0,'2404247020': -2.080357, '2404247023': -0.17410715,'2404247020': 3, '2404247023': 2,'2404247020': 8, '2404247023': 4,
225.0,'2404247020': -0.07589286, '2404247023': -0.035714287,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
250.0,'2404247020': -0.40625, '2404247023': -0.03125,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
275.0,'2404247020': -0.08035714, '2404247023': -0.3794643,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
300.0,'2404247020': -0.26339287, '2404247023': -0.16964285,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
325.0,'2404247020': -0.20089285, '2404247023': -0.26339287,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
350.0,'2404247020': -0.6473214, '2404247023': -0.5401786,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
375.0,'2404247020': -1.09375, '2404247023': -1.0535715,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 7,
400.0,'2404247020': -1.6205357, '2404247023': -2.1607144,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 11,
425.0,'2404247020': -0.11160714, '2404247023': -1.9866072,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
450.0,'2404247020': -0.12946428, '2404247023': -2.736607,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 7,
475.0,'2404247020': -0.4732143, '2404247023': -1.21875,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
500.0,'2404247020': -0.91964287, '2404247023': -1.9375,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 9,
525.0,'2404247020': -1.3660715, '2404247023': -2.78125,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 9,
550.0,'2404247020': -1.9151785, '2404247023': -3.84375,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 10,
575.0,'2404247020': 0.0, '2404247023': -3.0,'2404247020': 0, '2404247023': 4,'2404247020': 0, '2404247023': 11,
600.0,'2404247020': -0.09375, '2404247023': -1.5089285,'2404247020': 2, '2404247023': 5,'2404247020': 3, '2404247023': 13,
625.0,'2404247020': -0.54464287, '2404247023': -2.2455356,'2404247020': 3, '2404247023': 7,'2404247020': 5, '2404247023': 13,
650.0,'2404247020': -1.1785715, '2404247023': -3.919643,'2404247020': 3, '2404247023': 8,'2404247020': 6, '2404247023': 18,
675.0,'2404247020': -1.8482143, '2404247023': -4.0,'2404247020': 3, '2404247023': 10,'2404247020': 6, '2404247023': 22,
700.0,'2404247020': -2.517857, '2404247023': -4.0,'2404247020': 3, '2404247023': 10,'2404247020': 6, '2404247023': 24,
725.0,'2404247020': -3.1875, '2404247023': -4.0,'2404247020': 3, '2404247023': 10,'2404247020': 6, '2404247023': 25,
750.0,'2404247020': -0.0625, '2404247023': -4.0,'2404247020': 1, '2404247023': 11,'2404247020': 1, '2404247023': 25,
775.0,'2404247020': -0.20982143, '2404247023': -4.0,'2404247020': 3, '2404247023': 8,'2404247020': 5, '2404247023': 20,
800.0,'2404247020': -0.87946427, '2404247023': -4.0,'2404247020': 3, '2404247023': 9,'2404247020': 6, '2404247023': 20,
825.0,'2404247020': -1.5491072, '2404247023': -4.0,'2404247020': 3, '2404247023': 9,'2404247020': 6, '2404247023': 21,
850.0,'2404247020': -2.21875, '2404247023': -4.0,'2404247020': 3, '2404247023': 10,'2404247020': 6, '2404247023': 24,
875.0,'2404247020': -2.888393, '2404247023': -4.0,'2404247020': 3, '2404247023': 10,'2404247020': 6, '2404247023': 24,
900.0,'2404247020': -0.013392857, '2404247023': -4.0,'2404247020': 1, '2404247023': 11,'2404247020': 1, '2404247023': 27,
925.0,'2404247020': -0.14285715, '2404247023': -4.0,'2404247020': 2, '2404247023': 10,'2404247020': 2, '2404247023': 21,
950.0,'2404247020': -0.41517857, '2404247023': -4.0,'2404247020': 2, '2404247023': 8,'2404247020': 3, '2404247023': 19,
975.0,'2404247020': -0.8214286, '2404247023': -4.0,'2404247020': 2, '2404247023': 8,'2404247020': 4, '2404247023': 20,
1000.0,'2404247020': -0.15178572, '2404247023': -4.0,'2404247020': 2, '2404247023': 8,'2404247020': 2, '2404247023': 19,
1025.0,'2404247020': -0.6160714, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 6, '2404247023': 17,
