25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.06696428, '2404247023': -0.12053572,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
75.0,'2404247020': -0.017857144, '2404247023': -0.07589286,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
100.0,'2404247020': -0.16071428, '2404247023': -0.12053572,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
125.0,'2404247020': -0.58035713, '2404247023': -0.03125,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
150.0,'2404247020': -1.0267857, '2404247023': -0.14285715,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
175.0,'2404247020': -0.16517857, '2404247023': -0.0625,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
200.0,'2404247020': -0.071428575, '2404247023': -0.33482143,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
225.0,'2404247020': -0.4330357, '2404247023': -0.6651786,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
250.0,'2404247020': -0.9776786, '2404247023': -0.45982143,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 4,
275.0,'2404247020': -0.08035714, '2404247023': -0.58928573,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 8,
300.0,'2404247020': -0.102678575, '2404247023': -0.4419643,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
325.0,'2404247020': 0.0, '2404247023': -0.91964287,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 7,
350.0,'2404247020': -0.035714287, '2404247023': -0.13839285,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
375.0,'2404247020': -0.10714286, '2404247023': 0.0,'2404247020': 2, '2404247023': 0,'2404247020': 2, '2404247023': 0,
400.0,'2404247020': -0.08035714, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
425.0,'2404247020': -0.084821425, '2404247023': 0.0,'2404247020': 2, '2404247023': 0,'2404247020': 2, '2404247023': 0,
450.0,'2404247020': -0.51785713, '2404247023': -0.39285713,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
475.0,'2404247020': -0.14285715, '2404247023': -0.6339286,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 5,
500.0,'2404247020': -0.3794643, '2404247023': -0.8348214,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
525.0,'2404247020': -0.05357143, '2404247023': -1.0803572,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 3,
550.0,'2404247020': -0.035714287, '2404247023': -1.1651785,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
575.0,'2404247020': -0.25892857, '2404247023': -1.5848215,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
600.0,'2404247020': -0.16964285, '2404247023': -0.40625,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
625.0,'2404247020': -0.68303573, '2404247023': -0.71875,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 8,
650.0,'2404247020': -1.3169643, '2404247023': -1.9598215,'2404247020': 3, '2404247023': 4,'2404247020': 6, '2404247023': 13,
675.0,'2404247020': -1.9866072, '2404247023': -3.7276785,'2404247020': 3, '2404247023': 6,'2404247020': 6, '2404247023': 18,
700.0,'2404247020': -0.15625, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 15,
725.0,'2404247020': -0.008928572, '2404247023': -4.0,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 13,
750.0,'2404247020': -0.21875, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 3, '2404247023': 13,
775.0,'2404247020': -0.63839287, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 4, '2404247023': 16,
800.0,'2404247020': -1.1383928, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 5, '2404247023': 17,
825.0,'2404247020': -1.6964285, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 5, '2404247023': 14,
850.0,'2404247020': -0.03125, '2404247023': -4.0,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 12,
875.0,'2404247020': -0.25892857, '2404247023': -3.3839285,'2404247020': 3, '2404247023': 4,'2404247020': 4, '2404247023': 9,
900.0,'2404247020': -0.75446427, '2404247023': -1.5044643,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 9,
925.0,'2404247020': -1.3125, '2404247023': -1.9642857,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 9,
950.0,'2404247020': -1.8705357, '2404247023': -2.763393,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 8,
975.0,'2404247020': -0.20535715, '2404247023': -2.2232144,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 7,
1000.0,'2404247020': -0.79464287, '2404247023': -2.4151785,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 7,
1025.0,'2404247020': -0.17857143, '2404247023': -2.2232144,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 9,
1050.0,'2404247020': -0.59375, '2404247023': -2.3080356,'2404247020': 2, '2404247023': 3,'2404247020': 6, '2404247023': 6,
1075.0,'2404247020': -0.62946427, '2404247023': -2.982143,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 7,
1100.0,'2404247020': -0.73214287, '2404247023': -0.82589287,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 3,
1125.0,'2404247020': -0.47767857, '2404247023': -1.3169643,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 5,
1150.0,'2404247020': -0.71428573, '2404247023': -1.0133928,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 4,
1175.0,'2404247020': -1.4285715, '2404247023': -0.3482143,'2404247020': 2, '2404247023': 2,'2404247020': 8, '2404247023': 4,
1200.0,'2404247020': -0.04464286, '2404247023': -0.79464287,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1225.0,'2404247020': -0.5625, '2404247023': -0.17857143,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 4,
1250.0,'2404247020': -1.2321428, '2404247023': -0.76785713,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 6,
1275.0,'2404247020': -0.23660715, '2404247023': -1.5714285,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 10,
1300.0,'2404247020': -0.91071427, '2404247023': -0.008928572,'2404247020': 3, '2404247023': 1,'2404247020': 8, '2404247023': 1,
1325.0,'2404247020': -1.8125, '2404247023': -0.16071428,'2404247020': 4, '2404247023': 1,'2404247020': 9, '2404247023': 3,
1350.0,'2404247020': -0.10714286, '2404247023': -0.24553572,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 3,
1375.0,'2404247020': -0.5535714, '2404247023': -0.32142857,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1400.0,'2404247020': -0.03125, '2404247023': -0.76785713,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1425.0,'2404247020': -0.013392857, '2404247023': -1.0714285,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
1450.0,'2404247020': -0.08928572, '2404247023': -1.25,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 10,
1475.0,'2404247020': -0.55803573, '2404247023': -0.9598214,'2404247020': 3, '2404247023': 2,'2404247020': 7, '2404247023': 4,
1500.0,'2404247020': -0.06696428, '2404247023': -1.2142857,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1525.0,'2404247020': -0.33035713, '2404247023': -1.0580357,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
1550.0,'2404247020': -0.20982143, '2404247023': -1.3169643,'2404247020': 1, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1575.0,'2404247020': -0.11160714, '2404247023': -0.70535713,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 5,
1600.0,'2404247020': -0.21875, '2404247023': -0.30357143,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1625.0,'2404247020': -0.13392857, '2404247023': -0.75,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1650.0,'2404247020': -0.35714287, '2404247023': -0.60714287,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
1675.0,'2404247020': -0.11160714, '2404247023': -1.03125,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
1700.0,'2404247020': -0.8035714, '2404247023': -0.38839287,'2404247020': 4, '2404247023': 1,'2404247020': 8, '2404247023': 2,
1725.0,'2404247020': -1.9017857, '2404247023': -0.07589286,'2404247020': 5, '2404247023': 1,'2404247020': 11, '2404247023': 1,
1750.0,'2404247020': -0.02232143, '2404247023': -0.38839287,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
1775.0,'2404247020': -0.2857143, '2404247023': -1.1517857,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 8,
1800.0,'2404247020': -0.73214287, '2404247023': -1.2232143,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 8,
1825.0,'2404247020': -1.1785715, '2404247023': -1.4910715,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 8,
1850.0,'2404247020': -1.7321428, '2404247023': -2.0357144,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 8,
1875.0,'2404247020': 0.0, '2404247023': -3.0669644,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 11,
1900.0,'2404247020': -0.2544643, '2404247023': -1.9330357,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 9,
1925.0,'2404247020': -0.1875, '2404247023': -1.3883928,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 7,
