25.0,'2404247020': -0.035714287, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -0.04910714, '2404247023': -0.08035714,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
75.0,'2404247020': -0.51339287, '2404247023': -0.35714287,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
100.0,'2404247020': -1.1651785, '2404247023': -0.77678573,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
125.0,'2404247020': -1.8348215, '2404247023': -1.3348215,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
150.0,'2404247020': -2.6205356, '2404247023': -0.88839287,'2404247020': 3, '2404247023': 1,'2404247020': 7, '2404247023': 5,
175.0,'2404247020': -0.21875, '2404247023': -1.0446428,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 7,
200.0,'2404247020': -0.6651786, '2404247023': -1.0580357,'2404247020': 2, '2404247023': 4,'2404247020': 4, '2404247023': 10,
225.0,'2404247020': -1.2366072, '2404247023': -2.3080356,'2404247020': 2, '2404247023': 4,'2404247020': 6, '2404247023': 12,
250.0,'2404247020': 0.0, '2404247023': -3.8392856,'2404247020': 0, '2404247023': 4,'2404247020': 0, '2404247023': 16,
275.0,'2404247020': -0.125, '2404247023': -1.375,'2404247020': 1, '2404247023': 4,'2404247020': 2, '2404247023': 8,
300.0,'2404247020': -0.49107143, '2404247023': -2.4107144,'2404247020': 2, '2404247023': 4,'2404247020': 4, '2404247023': 11,
325.0,'2404247020': -1.0401785, '2404247023': -1.5758928,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 7,
350.0,'2404247020': -0.04017857, '2404247023': -2.3080356,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 12,
375.0,'2404247020': -0.09821428, '2404247023': -2.9375,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 12,
400.0,'2404247020': -0.42857143, '2404247023': -1.4419643,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 7,
425.0,'2404247020': -1.0982143, '2404247023': -2.4375,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 11,
450.0,'2404247020': -1.7678572, '2404247023': -3.9330356,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 14,
475.0,'2404247020': -0.04910714, '2404247023': -4.0,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 17,
500.0,'2404247020': -0.14732143, '2404247023': -1.1964285,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 8,
525.0,'2404247020': -0.08928572, '2404247023': -1.8794643,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 7,
550.0,'2404247020': -0.14732143, '2404247023': -0.5401786,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 4,
575.0,'2404247020': 0.0, '2404247023': -1.1741072,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 7,
600.0,'2404247020': 0.0, '2404247023': -1.2544643,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 6,
625.0,'2404247020': -0.14732143, '2404247023': -1.9241072,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
650.0,'2404247020': -0.02232143, '2404247023': -0.116071425,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
675.0,'2404247020': -0.23214285, '2404247023': -0.45982143,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
700.0,'2404247020': -0.15178572, '2404247023': -0.2767857,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
725.0,'2404247020': 0.0, '2404247023': -0.65178573,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 6,
750.0,'2404247020': -0.14285715, '2404247023': -0.9464286,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
775.0,'2404247020': -0.5089286, '2404247023': -1.1116072,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
800.0,'2404247020': -0.13839285, '2404247023': -1.1830357,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
825.0,'2404247020': 0.0, '2404247023': -1.5401785,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
850.0,'2404247020': -0.15625, '2404247023': -1.9866072,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 4,
875.0,'2404247020': -0.58035713, '2404247023': -2.1160715,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 3,
900.0,'2404247020': -1.0267857, '2404247023': -2.53125,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
925.0,'2404247020': -0.03125, '2404247023': -2.9776785,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
950.0,'2404247020': -0.084821425, '2404247023': -3.424107,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
975.0,'2404247020': -0.36607143, '2404247023': -3.8705356,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1000.0,'2404247020': -0.96875, '2404247023': -3.40625,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 3,
1025.0,'2404247020': -0.16517857, '2404247023': -1.6428572,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 7,
1050.0,'2404247020': -0.071428575, '2404247023': -2.450893,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 10,
1075.0,'2404247020': -0.20535715, '2404247023': -2.7455356,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 7,
1100.0,'2404247020': -0.16071428, '2404247023': -1.6160715,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 8,
1125.0,'2404247020': -0.74553573, '2404247023': -2.3526785,'2404247020': 3, '2404247023': 2,'2404247020': 8, '2404247023': 7,
1150.0,'2404247020': -0.16071428, '2404247023': -0.3482143,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 5,
1175.0,'2404247020': -0.54910713, '2404247023': -0.32142857,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
1200.0,'2404247020': -0.12946428, '2404247023': -0.3169643,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1225.0,'2404247020': -0.58035713, '2404247023': -0.62053573,'2404247020': 2, '2404247023': 1,'2404247020': 7, '2404247023': 5,
1250.0,'2404247020': -1.6428572, '2404247023': -1.125,'2404247020': 3, '2404247023': 3,'2404247020': 11, '2404247023': 5,
1275.0,'2404247020': -3.1160715, '2404247023': -1.7008928,'2404247020': 5, '2404247023': 3,'2404247020': 15, '2404247023': 6,
1300.0,'2404247020': -4.0, '2404247023': -2.4375,'2404247020': 6, '2404247023': 3,'2404247020': 18, '2404247023': 7,
1325.0,'2404247020': -4.0, '2404247023': -3.3214285,'2404247020': 7, '2404247023': 3,'2404247020': 19, '2404247023': 9,
1350.0,'2404247020': -1.6651785, '2404247023': -0.008928572,'2404247020': 3, '2404247023': 1,'2404247020': 8, '2404247023': 1,
1375.0,'2404247020': -1.9464285, '2404247023': -0.375,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
1400.0,'2404247020': -2.5223215, '2404247023': -0.42410713,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 4,
1425.0,'2404247020': -0.03125, '2404247023': -0.72321427,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
1450.0,'2404247020': -0.21875, '2404247023': -1.1383928,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 9,
1475.0,'2404247020': -0.27232143, '2404247023': -2.1964285,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 10,
1500.0,'2404247020': -0.17410715, '2404247023': -0.41517857,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 4,
1525.0,'2404247020': -0.7901786, '2404247023': -0.58035713,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
1550.0,'2404247020': -1.4598215, '2404247023': -0.03125,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 1,
1575.0,'2404247020': -0.10714286, '2404247023': -0.0625,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 3,
1600.0,'2404247020': -0.51339287, '2404247023': -0.21875,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 3,
1625.0,'2404247020': -0.15178572, '2404247023': -0.59821427,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1650.0,'2404247020': -0.375, '2404247023': -0.4375,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
1675.0,'2404247020': -0.81696427, '2404247023': -0.94196427,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 6,
1700.0,'2404247020': -1.2633928, '2404247023': -0.58035713,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 3,
1725.0,'2404247020': -0.21875, '2404247023': -0.5714286,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 8,
1750.0,'2404247020': -0.026785715, '2404247023': -0.95089287,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 7,
1775.0,'2404247020': -0.34375, '2404247023': -1.6651785,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 7,
1800.0,'2404247020': -0.6785714, '2404247023': -1.3080357,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 5,
1825.0,'2404247020': -1.0535715, '2404247023': -1.8883928,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 6,
1850.0,'2404247020': -0.102678575, '2404247023': -1.9464285,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 7,
1875.0,'2404247020': -0.24553572, '2404247023': -2.392857,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 7,
1900.0,'2404247020': -0.13839285, '2404247023': -2.513393,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 6,
1925.0,'2404247020': -0.12053572, '2404247023': -2.5669644,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
1950.0,'2404247020': -0.51785713, '2404247023': -0.26339287,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1975.0,'2404247020': -1.0758928, '2404247023': -0.2544643,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
2000.0,'2404247020': -1.6339285, '2404247023': -0.59375,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 8,
2025.0,'2404247020': -0.1875, '2404247023': -1.0357143,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 9,
2050.0,'2404247020': -0.76339287, '2404247023': -0.97321427,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
2075.0,'2404247020': -1.6116072, '2404247023': -0.76339287,'2404247020': 5, '2404247023': 1,'2404247020': 9, '2404247023': 4,
2100.0,'2404247020': -2.7544644, '2404247023': -1.2723215,'2404247020': 6, '2404247023': 2,'2404247020': 12, '2404247023': 5,
2125.0,'2404247020': -0.11160714, '2404247023': -0.0625,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
2150.0,'2404247020': -0.05357143, '2404247023': -0.19642857,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
2175.0,'2404247020': -0.53125, '2404247023': -0.3705357,'2404247020': 2, '2404247023': 1,'2404247020': 7, '2404247023': 3,
2200.0,'2404247020': 0.0, '2404247023': -1.0178572,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 8,
2225.0,'2404247020': -0.20535715, '2404247023': -0.0625,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
2250.0,'2404247020': -0.29017857, '2404247023': -0.071428575,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
2275.0,'2404247020': -0.7901786, '2404247023': -0.3169643,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 3,
2300.0,'2404247020': -1.6294643, '2404247023': -0.7276786,'2404247020': 3, '2404247023': 2,'2404247020': 9, '2404247023': 4,
2325.0,'2404247020': 0.0, '2404247023': -0.116071425,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
2350.0,'2404247020': -0.15625, '2404247023': -0.65178573,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
2375.0,'2404247020': -0.3794643, '2404247023': -0.29017857,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
2400.0,'2404247020': -0.10714286, '2404247023': -0.102678575,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
2425.0,'2404247020': -0.10714286, '2404247023': -0.29464287,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2450.0,'2404247020': -0.38839287, '2404247023': -0.14732143,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 1,
2475.0,'2404247020': -0.071428575, '2404247023': -0.008928572,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
2500.0,'2404247020': -0.09375, '2404247023': -0.29464287,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
2525.0,'2404247020': -0.08928572, '2404247023': -0.2857143,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
2550.0,'2404247020': -0.3080357, '2404247023': -0.5089286,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
2575.0,'2404247020': -0.04017857, '2404247023': -1.2678572,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 9,
2600.0,'2404247020': -0.26785713, '2404247023': -0.82589287,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
2625.0,'2404247020': -0.86160713, '2404247023': -0.125,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 2,
2650.0,'2404247020': -1.53125, '2404247023': -0.19196428,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 3,
2675.0,'2404247020': -2.200893, '2404247023': -0.7589286,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 7,
2700.0,'2404247020': -0.16517857, '2404247023': -0.80803573,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 7,
2725.0,'2404247020': -0.14285715, '2404247023': -1.03125,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 8,
2750.0,'2404247020': -0.125, '2404247023': -1.0223215,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
2775.0,'2404247020': -0.53571427, '2404247023': -1.1428572,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 3,
2800.0,'2404247020': -1.0892857, '2404247023': -1.125,'2404247020': 3, '2404247023': 2,'2404247020': 7, '2404247023': 3,
2825.0,'2404247020': -0.04017857, '2404247023': -1.6473215,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 6,
2850.0,'2404247020': -0.53571427, '2404247023': -2.1473215,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 7,
2875.0,'2404247020': -1.1919643, '2404247023': -2.3973215,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 6,
