25.0,'2404247020': -0.004464286, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -0.02232143, '2404247023': -0.08035714,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
75.0,'2404247020': -0.42857143, '2404247023': -0.16964285,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
100.0,'2404247020': -0.875, '2404247023': -0.64285713,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
125.0,'2404247020': -1.3214285, '2404247023': -0.62946427,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
150.0,'2404247020': -1.7678572, '2404247023': -1.1875,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
175.0,'2404247020': -2.2142856, '2404247023': -1.9464285,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 7,
200.0,'2404247020': -2.6607144, '2404247023': -2.90625,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 11,
225.0,'2404247020': -0.116071425, '2404247023': -4.0,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 12,
250.0,'2404247020': -0.57589287, '2404247023': -2.544643,'2404247020': 2, '2404247023': 5,'2404247020': 6, '2404247023': 13,
275.0,'2404247020': -1.3035715, '2404247023': -1.7276785,'2404247020': 2, '2404247023': 2,'2404247020': 7, '2404247023': 7,
300.0,'2404247020': -0.26785713, '2404247023': -1.9821428,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 9,
325.0,'2404247020': -0.82589287, '2404247023': -3.013393,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 10,
350.0,'2404247020': -1.3839285, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 14,
375.0,'2404247020': -1.9419643, '2404247023': -1.53125,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 8,
400.0,'2404247020': -2.5, '2404247023': -2.6651785,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 11,
425.0,'2404247020': -3.0580356, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 5, '2404247023': 13,
450.0,'2404247020': -0.08035714, '2404247023': -4.0,'2404247020': 1, '2404247023': 5,'2404247020': 2, '2404247023': 18,
475.0,'2404247020': -0.61160713, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 8, '2404247023': 13,
500.0,'2404247020': -0.8348214, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 6, '2404247023': 10,
525.0,'2404247020': -0.66964287, '2404247023': -4.0,'2404247020': 2, '2404247023': 3,'2404247020': 6, '2404247023': 9,
550.0,'2404247020': -1.2008928, '2404247023': -2.3482144,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 6,
575.0,'2404247020': -0.17857143, '2404247023': -2.419643,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 11,
600.0,'2404247020': -0.4017857, '2404247023': -3.3482144,'2404247020': 2, '2404247023': 6,'2404247020': 2, '2404247023': 15,
625.0,'2404247020': -0.13392857, '2404247023': -1.2321428,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 7,
650.0,'2404247020': -0.60714287, '2404247023': -1.9910715,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 12,
675.0,'2404247020': -1.1651785, '2404247023': -3.6651785,'2404247020': 3, '2404247023': 6,'2404247020': 5, '2404247023': 17,
700.0,'2404247020': -1.7232143, '2404247023': -4.0,'2404247020': 2, '2404247023': 6,'2404247020': 5, '2404247023': 17,
