25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.04910714, '2404247023': -0.071428575,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
75.0,'2404247020': 0.0, '2404247023': -0.6026786,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 8,
100.0,'2404247020': -0.19642857, '2404247023': -0.12053572,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 1,
125.0,'2404247020': -0.21875, '2404247023': -0.33035713,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
150.0,'2404247020': -0.16517857, '2404247023': -0.7276786,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
175.0,'2404247020': -0.035714287, '2404247023': -0.15178572,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
200.0,'2404247020': -0.23660715, '2404247023': -0.16071428,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
225.0,'2404247020': -0.19642857, '2404247023': -0.25892857,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
250.0,'2404247020': -0.11160714, '2404247023': -0.62053573,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
275.0,'2404247020': -0.56696427, '2404247023': -1.2410715,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 7,
300.0,'2404247020': -1.125, '2404247023': -2.0580356,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 8,
325.0,'2404247020': -1.7321428, '2404247023': -1.9776785,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
350.0,'2404247020': -0.04017857, '2404247023': -0.22321428,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
375.0,'2404247020': -0.3169643, '2404247023': -0.46875,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 3,
400.0,'2404247020': -0.76339287, '2404247023': -1.2232143,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 10,
425.0,'2404247020': -1.2544643, '2404247023': -1.1964285,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
450.0,'2404247020': -0.13839285, '2404247023': -0.72321427,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 6,
475.0,'2404247020': -0.23214285, '2404247023': -1.2142857,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 8,
500.0,'2404247020': -0.68303573, '2404247023': -2.1875,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 9,
525.0,'2404247020': -1.1294643, '2404247023': -1.8973215,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 6,
550.0,'2404247020': -1.5714285, '2404247023': -2.625,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 8,
575.0,'2404247020': 0.0, '2404247023': -3.3705356,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 8,
600.0,'2404247020': -0.08928572, '2404247023': -0.76339287,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 8,
625.0,'2404247020': 0.0, '2404247023': -1.8928572,'2404247020': 0, '2404247023': 5,'2404247020': 0, '2404247023': 13,
650.0,'2404247020': -0.017857144, '2404247023': -2.90625,'2404247020': 1, '2404247023': 6,'2404247020': 1, '2404247023': 14,
