25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.026785715, '2404247023': -0.11160714,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
75.0,'2404247020': -0.16517857, '2404247023': -0.15178572,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
100.0,'2404247020': -0.116071425, '2404247023': -0.09821428,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
125.0,'2404247020': -0.62053573, '2404247023': -0.4017857,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
150.0,'2404247020': -0.15178572, '2404247023': -0.23214285,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 5,
175.0,'2404247020': -0.12053572, '2404247023': -0.42857143,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
200.0,'2404247020': -0.11160714, '2404247023': -0.8526786,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 5,
225.0,'2404247020': -0.16517857, '2404247023': -1.5223215,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 8,
250.0,'2404247020': -0.46875, '2404247023': 0.0,'2404247020': 3, '2404247023': 0,'2404247020': 5, '2404247023': 0,
275.0,'2404247020': -1.0267857, '2404247023': 0.0,'2404247020': 3, '2404247023': 0,'2404247020': 5, '2404247023': 0,
300.0,'2404247020': -1.6696428, '2404247023': -0.03125,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 1,
325.0,'2404247020': 0.0, '2404247023': -0.22767857,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 4,
350.0,'2404247020': -0.04017857, '2404247023': -0.24553572,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
375.0,'2404247020': -0.16517857, '2404247023': -0.7723214,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 5,
400.0,'2404247020': -0.5, '2404247023': -1.3303572,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 5,
425.0,'2404247020': -0.8348214, '2404247023': -0.15178572,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
450.0,'2404247020': -1.3526785, '2404247023': -0.55803573,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
475.0,'2404247020': -1.9508928, '2404247023': -1.1696428,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 7,
500.0,'2404247020': -0.017857144, '2404247023': -1.8080357,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 8,
525.0,'2404247020': -0.33482143, '2404247023': -1.375,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
550.0,'2404247020': -0.008928572, '2404247023': -1.1160715,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
575.0,'2404247020': 0.0, '2404247023': -0.6160714,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
600.0,'2404247020': -0.17857143, '2404247023': -1.0669643,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
625.0,'2404247020': -0.58035713, '2404247023': -0.52678573,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 4,
650.0,'2404247020': -1.1205357, '2404247023': -0.35267857,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 4,
675.0,'2404247020': -0.07589286, '2404247023': -0.3482143,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
700.0,'2404247020': -0.45535713, '2404247023': -0.68303573,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 6,
725.0,'2404247020': -1.125, '2404247023': -1.0982143,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 5,
750.0,'2404247020': -1.875, '2404247023': -0.8839286,'2404247020': 4, '2404247023': 2,'2404247020': 7, '2404247023': 4,
775.0,'2404247020': -0.12053572, '2404247023': -1.4464285,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 6,
800.0,'2404247020': -0.14285715, '2404247023': -0.17857143,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 3,
825.0,'2404247020': -0.8348214, '2404247023': -0.06696428,'2404247020': 3, '2404247023': 1,'2404247020': 8, '2404247023': 1,
850.0,'2404247020': -0.13392857, '2404247023': -0.20535715,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 2,
875.0,'2404247020': -0.5625, '2404247023': -0.52678573,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 3,
900.0,'2404247020': -0.017857144, '2404247023': -0.95535713,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
925.0,'2404247020': -0.15625, '2404247023': -1.4017857,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
950.0,'2404247020': -0.04910714, '2404247023': -0.55803573,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
975.0,'2404247020': -0.44642857, '2404247023': -1.0401785,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
1000.0,'2404247020': -0.98214287, '2404247023': -1.5982143,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
1025.0,'2404247020': -0.23214285, '2404247023': -2.03125,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 9,
1050.0,'2404247020': -0.16517857, '2404247023': -1.9241072,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1075.0,'2404247020': -0.5848214, '2404247023': -1.7678572,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 3,
1100.0,'2404247020': -0.81696427, '2404247023': -0.18303572,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1125.0,'2404247020': -0.25892857, '2404247023': -0.44642857,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 5,
1150.0,'2404247020': -1.0982143, '2404247023': -0.29910713,'2404247020': 4, '2404247023': 1,'2404247020': 9, '2404247023': 1,
1175.0,'2404247020': -0.24107143, '2404247023': -0.05357143,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 1,
1200.0,'2404247020': -0.7723214, '2404247023': -0.32142857,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
1225.0,'2404247020': -1.4107143, '2404247023': -0.53571427,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
1250.0,'2404247020': -2.080357, '2404247023': -1.2455357,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 8,
1275.0,'2404247020': -0.24107143, '2404247023': -2.2767856,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 12,
1300.0,'2404247020': -0.8526786, '2404247023': -2.5848215,'2404247020': 3, '2404247023': 5,'2404247020': 7, '2404247023': 10,
1325.0,'2404247020': -0.41517857, '2404247023': -3.174107,'2404247020': 2, '2404247023': 5,'2404247020': 5, '2404247023': 9,
1350.0,'2404247020': -0.39285713, '2404247023': -0.65178573,'2404247020': 1, '2404247023': 3,'2404247020': 4, '2404247023': 5,
1375.0,'2404247020': 0.0, '2404247023': -1.2098215,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 5,
1400.0,'2404247020': -0.026785715, '2404247023': -0.60714287,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
1425.0,'2404247020': -0.03125, '2404247023': -1.1830357,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
1450.0,'2404247020': -0.12053572, '2404247023': -1.4598215,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
1475.0,'2404247020': -0.22767857, '2404247023': -0.91964287,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
1500.0,'2404247020': -0.125, '2404247023': -1.4464285,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 7,
1525.0,'2404247020': -0.058035713, '2404247023': -0.9375,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
1550.0,'2404247020': -0.39285713, '2404247023': -1.2366072,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
1575.0,'2404247020': -0.81696427, '2404247023': -2.0982144,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 9,
1600.0,'2404247020': -0.23214285, '2404247023': -0.16517857,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
1625.0,'2404247020': -0.125, '2404247023': -0.19642857,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
1650.0,'2404247020': -0.3482143, '2404247023': -0.09821428,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
