25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.035714287, '2404247023': -0.116071425,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
75.0,'2404247020': -0.45982143, '2404247023': -0.21428572,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
100.0,'2404247020': -0.90625, '2404247023': -0.3169643,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
125.0,'2404247020': -0.14285715, '2404247023': -0.3705357,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
150.0,'2404247020': -0.19196428, '2404247023': -0.44642857,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 4,
175.0,'2404247020': -0.52678573, '2404247023': -1.0580357,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 6,
200.0,'2404247020': 0.0, '2404247023': -1.9821428,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 11,
225.0,'2404247020': -0.12053572, '2404247023': -0.87053573,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 6,
250.0,'2404247020': -0.5535714, '2404247023': -1.7053572,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 9,
275.0,'2404247020': -1.1116072, '2404247023': -2.59375,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 10,
300.0,'2404247020': -0.09375, '2404247023': -0.72321427,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
325.0,'2404247020': -0.4017857, '2404247023': -0.51785713,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
350.0,'2404247020': -0.035714287, '2404247023': -1.0267857,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 6,
375.0,'2404247020': -0.16071428, '2404247023': -0.38392857,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
400.0,'2404247020': -0.07589286, '2404247023': -0.08928572,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 4,
425.0,'2404247020': -0.29910713, '2404247023': -0.6339286,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 5,
450.0,'2404247020': -0.14285715, '2404247023': -0.4017857,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 5,
475.0,'2404247020': -0.61160713, '2404247023': -0.64285713,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 4,
500.0,'2404247020': -0.07589286, '2404247023': -0.63839287,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 4,
525.0,'2404247020': -0.09375, '2404247023': -0.84821427,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
550.0,'2404247020': -0.03125, '2404247023': -0.41517857,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
575.0,'2404247020': -0.28125, '2404247023': -0.7276786,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
600.0,'2404247020': 0.0, '2404247023': -0.3794643,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
625.0,'2404247020': -0.09821428, '2404247023': -0.49107143,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
650.0,'2404247020': -0.5089286, '2404247023': -0.98660713,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 7,
675.0,'2404247020': -0.95535713, '2404247023': -2.0892856,'2404247020': 2, '2404247023': 4,'2404247020': 4, '2404247023': 12,
700.0,'2404247020': -0.16964285, '2404247023': -2.78125,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 11,
725.0,'2404247020': -0.026785715, '2404247023': -2.03125,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 8,
750.0,'2404247020': -0.3392857, '2404247023': -2.8392856,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 9,
775.0,'2404247020': -0.8660714, '2404247023': -3.9151785,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 11,
800.0,'2404247020': -0.071428575, '2404247023': -3.392857,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 11,
825.0,'2404247020': 0.0, '2404247023': -4.0,'2404247020': 0, '2404247023': 4,'2404247020': 0, '2404247023': 12,
850.0,'2404247020': -0.04017857, '2404247023': -0.3482143,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
875.0,'2404247020': -0.3169643, '2404247023': -0.16964285,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
900.0,'2404247020': 0.0, '2404247023': -0.48660713,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 3,
925.0,'2404247020': -0.08928572, '2404247023': -1.0401785,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 5,
950.0,'2404247020': 0.0, '2404247023': -1.4375,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 7,
975.0,'2404247020': -0.116071425, '2404247023': -0.20535715,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
1000.0,'2404247020': -0.15178572, '2404247023': -0.3169643,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1025.0,'2404247020': -0.60714287, '2404247023': -0.75,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 4,
1050.0,'2404247020': -0.08035714, '2404247023': -0.1875,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1075.0,'2404247020': -0.19196428, '2404247023': -0.24553572,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
1100.0,'2404247020': -0.5, '2404247023': -0.058035713,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
1125.0,'2404247020': -0.15625, '2404247023': -0.16517857,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1150.0,'2404247020': -0.013392857, '2404247023': -0.375,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1175.0,'2404247020': -0.23660715, '2404247023': -0.25,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 2,
1200.0,'2404247020': -0.058035713, '2404247023': -0.3794643,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1225.0,'2404247020': -0.29910713, '2404247023': -0.017857144,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 1,
1250.0,'2404247020': -0.96875, '2404247023': -0.26785713,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 3,
1275.0,'2404247020': -0.32142857, '2404247023': -0.77678573,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 8,
1300.0,'2404247020': 0.0, '2404247023': -1.75,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 10,
1325.0,'2404247020': -0.008928572, '2404247023': -0.59821427,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
1350.0,'2404247020': -0.12946428, '2404247023': -0.4642857,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
1375.0,'2404247020': -0.5714286, '2404247023': -0.3080357,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1400.0,'2404247020': -0.04910714, '2404247023': -0.4375,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
1425.0,'2404247020': -0.42410713, '2404247023': -0.8214286,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 7,
1450.0,'2404247020': -1.09375, '2404247023': -0.06696428,'2404247020': 2, '2404247023': 1,'2404247020': 7, '2404247023': 2,
1475.0,'2404247020': -0.084821425, '2404247023': -0.27232143,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1500.0,'2404247020': -0.24107143, '2404247023': -0.8214286,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 5,
1525.0,'2404247020': -0.70535713, '2404247023': -1.3794643,'2404247020': 3, '2404247023': 3,'2404247020': 7, '2404247023': 5,
1550.0,'2404247020': -0.9464286, '2404247023': -1.9375,'2404247020': 3, '2404247023': 3,'2404247020': 7, '2404247023': 5,
1575.0,'2404247020': -1.90625, '2404247023': -2.4955356,'2404247020': 4, '2404247023': 3,'2404247020': 11, '2404247023': 5,
1600.0,'2404247020': -1.65625, '2404247023': -1.3392857,'2404247020': 3, '2404247023': 2,'2404247020': 7, '2404247023': 3,
1625.0,'2404247020': -0.97321427, '2404247023': -1.1517857,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 8,
1650.0,'2404247020': -1.8169643, '2404247023': -0.96875,'2404247020': 3, '2404247023': 2,'2404247020': 9, '2404247023': 8,
1675.0,'2404247020': -2.950893, '2404247023': -0.24107143,'2404247020': 5, '2404247023': 1,'2404247020': 13, '2404247023': 3,
1700.0,'2404247020': -4.0, '2404247023': -0.23660715,'2404247020': 7, '2404247023': 1,'2404247020': 17, '2404247023': 1,
1725.0,'2404247020': -0.84821427, '2404247023': -0.04910714,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1750.0,'2404247020': -0.39732143, '2404247023': -0.5714286,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
1775.0,'2404247020': -0.0625, '2404247023': -0.79464287,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
1800.0,'2404247020': 0.0, '2404247023': -1.0401785,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 5,
1825.0,'2404247020': -0.09821428, '2404247023': -1.125,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1850.0,'2404247020': -0.2767857, '2404247023': -0.8839286,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 4,
1875.0,'2404247020': -0.9776786, '2404247023': -1.4419643,'2404247020': 2, '2404247023': 1,'2404247020': 7, '2404247023': 6,
1900.0,'2404247020': -0.15625, '2404247023': 0.0,'2404247020': 3, '2404247023': 0,'2404247020': 4, '2404247023': 0,
1925.0,'2404247020': -0.66964287, '2404247023': -0.15178572,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
1950.0,'2404247020': -0.32589287, '2404247023': -0.65178573,'2404247020': 2, '2404247023': 2,'2404247020': 7, '2404247023': 7,
1975.0,'2404247020': -1.3794643, '2404247023': -0.08035714,'2404247020': 3, '2404247023': 1,'2404247020': 10, '2404247023': 2,
2000.0,'2404247020': -0.017857144, '2404247023': -0.05357143,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
2025.0,'2404247020': -0.42410713, '2404247023': -0.3392857,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
2050.0,'2404247020': -0.87053573, '2404247023': -0.45982143,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
2075.0,'2404247020': -0.058035713, '2404247023': -0.6160714,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
2100.0,'2404247020': -0.035714287, '2404247023': -0.48660713,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
2125.0,'2404247020': -0.125, '2404247023': -0.9375,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 6,
2150.0,'2404247020': -0.10714286, '2404247023': -0.59821427,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2175.0,'2404247020': -0.24553572, '2404247023': -1.0223215,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
2200.0,'2404247020': -0.084821425, '2404247023': -0.66964287,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 4,
2225.0,'2404247020': -0.46875, '2404247023': -1.0669643,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 6,
2250.0,'2404247020': -0.2857143, '2404247023': -1.7366072,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 6,
2275.0,'2404247020': -0.8526786, '2404247023': -0.05357143,'2404247020': 3, '2404247023': 1,'2404247020': 8, '2404247023': 2,
2300.0,'2404247020': -1.8258928, '2404247023': -0.15625,'2404247020': 3, '2404247023': 2,'2404247020': 10, '2404247023': 3,
2325.0,'2404247020': -0.25892857, '2404247023': -0.16071428,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
2350.0,'2404247020': -0.08035714, '2404247023': -0.59375,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
2375.0,'2404247020': -0.2767857, '2404247023': -0.77678573,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
2400.0,'2404247020': -0.05357143, '2404247023': -0.17857143,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
2425.0,'2404247020': -0.17410715, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
2450.0,'2404247020': -0.8035714, '2404247023': -0.102678575,'2404247020': 2, '2404247023': 1,'2404247020': 7, '2404247023': 3,
2475.0,'2404247020': 0.0, '2404247023': -0.62946427,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 7,
2500.0,'2404247020': -0.116071425, '2404247023': -0.2544643,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2525.0,'2404247020': -0.13839285, '2404247023': -0.46875,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2550.0,'2404247020': -0.084821425, '2404247023': -0.6964286,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
2575.0,'2404247020': -0.13839285, '2404247023': -0.875,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2600.0,'2404247020': -0.5223214, '2404247023': -1.4866072,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
2625.0,'2404247020': -0.96875, '2404247023': -2.15625,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
2650.0,'2404247020': -0.116071425, '2404247023': -1.8526785,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 7,
2675.0,'2404247020': -0.4107143, '2404247023': -0.80803573,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 9,
2700.0,'2404247020': -1.2633928, '2404247023': -0.97321427,'2404247020': 3, '2404247023': 2,'2404247020': 9, '2404247023': 4,
2725.0,'2404247020': -2.3660715, '2404247023': -0.21428572,'2404247020': 4, '2404247023': 2,'2404247020': 11, '2404247023': 3,
2750.0,'2404247020': -0.19642857, '2404247023': -0.27232143,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
2775.0,'2404247020': -0.64285713, '2404247023': -0.58928573,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 5,
2800.0,'2404247020': -0.09821428, '2404247023': -1.1473215,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 5,
2825.0,'2404247020': -0.017857144, '2404247023': -0.20982143,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
2850.0,'2404247020': -0.42857143, '2404247023': -0.41517857,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
2875.0,'2404247020': 0.0, '2404247023': -0.5535714,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 9,
2900.0,'2404247020': -0.071428575, '2404247023': -0.875,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
2925.0,'2404247020': -0.62053573, '2404247023': 0.0,'2404247020': 3, '2404247023': 0,'2404247020': 7, '2404247023': 0,
2950.0,'2404247020': 0.0, '2404247023': -0.13392857,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
2975.0,'2404247020': -0.16517857, '2404247023': -0.21875,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
3000.0,'2404247020': -0.49107143, '2404247023': -0.17410715,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
3025.0,'2404247020': -0.116071425, '2404247023': -0.21428572,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 3,
3050.0,'2404247020': 0.0, '2404247023': -0.22321428,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 2,
3075.0,'2404247020': -0.06696428, '2404247023': -0.22767857,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
3100.0,'2404247020': -0.48660713, '2404247023': -0.24553572,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
3125.0,'2404247020': -0.93303573, '2404247023': -0.102678575,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
3150.0,'2404247020': -0.12053572, '2404247023': -0.54464287,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 6,
3175.0,'2404247020': -0.41517857, '2404247023': -0.45982143,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
3200.0,'2404247020': -0.09375, '2404247023': -0.77678573,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
3225.0,'2404247020': -0.026785715, '2404247023': -1.125,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
3250.0,'2404247020': -0.058035713, '2404247023': -1.7723215,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
3275.0,'2404247020': -0.13392857, '2404247023': -2.5401785,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 8,
3300.0,'2404247020': -0.05357143, '2404247023': -0.09375,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3325.0,'2404247020': -0.30357143, '2404247023': -0.32589287,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 3,
3350.0,'2404247020': -0.15178572, '2404247023': -0.48214287,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
3375.0,'2404247020': -0.15625, '2404247023': -0.34375,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
3400.0,'2404247020': -0.02232143, '2404247023': -0.05357143,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3425.0,'2404247020': -0.071428575, '2404247023': -0.4107143,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
3450.0,'2404247020': -0.06696428, '2404247023': -0.32589287,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3475.0,'2404247020': -0.24553572, '2404247023': -0.5,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
3500.0,'2404247020': -0.102678575, '2404247023': -0.90178573,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
3525.0,'2404247020': -0.36160713, '2404247023': -1.4598215,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 5,
3550.0,'2404247020': -0.008928572, '2404247023': -2.017857,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
3575.0,'2404247020': -0.2767857, '2404247023': -2.575893,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
3600.0,'2404247020': -0.14285715, '2404247023': -0.24553572,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 3,
