25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.02232143, '2404247023': -0.06696428,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
75.0,'2404247020': -0.16964285, '2404247023': -0.035714287,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 1,
100.0,'2404247020': -0.04017857, '2404247023': -0.15178572,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
125.0,'2404247020': -0.3169643, '2404247023': -0.0625,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
150.0,'2404247020': -0.08928572, '2404247023': -0.084821425,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
175.0,'2404247020': -0.53125, '2404247023': -0.09375,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 1,
200.0,'2404247020': -0.15178572, '2404247023': -0.004464286,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
225.0,'2404247020': -0.09821428, '2404247023': -0.21428572,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
250.0,'2404247020': -0.40625, '2404247023': -0.84821427,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 7,
275.0,'2404247020': -0.7410714, '2404247023': -1.8125,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 10,
300.0,'2404247020': -0.12946428, '2404247023': -0.16964285,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 3,
325.0,'2404247020': -0.66071427, '2404247023': -0.3125,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
350.0,'2404247020': -1.21875, '2404247023': -0.35267857,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 3,
375.0,'2404247020': -0.09821428, '2404247023': -0.87946427,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
400.0,'2404247020': -0.32142857, '2404247023': -1.25,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
425.0,'2404247020': -0.66964287, '2404247023': -1.8080357,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 5,
450.0,'2404247020': -0.12053572, '2404247023': -2.3660715,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
475.0,'2404247020': -0.4732143, '2404247023': -0.008928572,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
500.0,'2404247020': -0.91964287, '2404247023': -0.42857143,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
525.0,'2404247020': -1.375, '2404247023': -1.1607143,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 7,
550.0,'2404247020': -0.035714287, '2404247023': -1.1607143,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 7,
