25.0,'2404247020': -0.026785715, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -0.06696428, '2404247023': -0.008928572,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
75.0,'2404247020': -0.5401786, '2404247023': -0.03125,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
100.0,'2404247020': -1.0982143, '2404247023': -0.44642857,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
125.0,'2404247020': -0.125, '2404247023': -0.8660714,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 7,
150.0,'2404247020': 0.0, '2404247023': -1.7008928,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 9,
175.0,'2404247020': -0.21875, '2404247023': -0.45535713,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
200.0,'2404247020': -0.04464286, '2404247023': -0.61160713,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
225.0,'2404247020': -0.20535715, '2404247023': -0.6473214,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 6,
250.0,'2404247020': -0.08928572, '2404247023': -1.4017857,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 8,
275.0,'2404247020': -0.20089285, '2404247023': -0.03125,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
300.0,'2404247020': -0.10714286, '2404247023': -0.14285715,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
325.0,'2404247020': -0.45982143, '2404247023': -0.03125,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
350.0,'2404247020': -0.04017857, '2404247023': -0.25,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 5,
375.0,'2404247020': -0.26339287, '2404247023': -0.8839286,'2404247020': 1, '2404247023': 2,'2404247020': 4, '2404247023': 6,
