25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.06696428, '2404247023': -0.116071425,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
75.0,'2404247020': -0.017857144, '2404247023': -0.08035714,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
100.0,'2404247020': -0.17410715, '2404247023': -0.3080357,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 3,
125.0,'2404247020': -0.79464287, '2404247023': -0.18303572,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 3,
150.0,'2404247020': -1.4642857, '2404247023': -0.55803573,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 4,
175.0,'2404247020': -0.16517857, '2404247023': -1.0044643,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
200.0,'2404247020': -0.13839285, '2404247023': -1.4508928,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
225.0,'2404247020': -0.4732143, '2404247023': -1.4642857,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
250.0,'2404247020': -0.20535715, '2404247023': -0.47767857,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 8,
275.0,'2404247020': -0.5401786, '2404247023': -1.2321428,'2404247020': 1, '2404247023': 4,'2404247020': 3, '2404247023': 8,
300.0,'2404247020': -0.12053572, '2404247023': -0.5535714,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
325.0,'2404247020': -0.58035713, '2404247023': -1.0,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
350.0,'2404247020': -1.25, '2404247023': -1.5089285,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
375.0,'2404247020': -1.9776785, '2404247023': -2.2232144,'2404247020': 3, '2404247023': 2,'2404247020': 7, '2404247023': 7,
400.0,'2404247020': -2.7589285, '2404247023': -3.21875,'2404247020': 3, '2404247023': 3,'2404247020': 7, '2404247023': 10,
425.0,'2404247020': -3.544643, '2404247023': -3.0,'2404247020': 3, '2404247023': 4,'2404247020': 8, '2404247023': 11,
450.0,'2404247020': -0.33482143, '2404247023': -3.4285715,'2404247020': 2, '2404247023': 5,'2404247020': 5, '2404247023': 13,
475.0,'2404247020': -0.08928572, '2404247023': -3.9285715,'2404247020': 1, '2404247023': 4,'2404247020': 2, '2404247023': 16,
500.0,'2404247020': -0.017857144, '2404247023': -4.0,'2404247020': 1, '2404247023': 5,'2404247020': 1, '2404247023': 16,
525.0,'2404247020': -0.3392857, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 4, '2404247023': 12,
550.0,'2404247020': -0.084821425, '2404247023': -4.0,'2404247020': 1, '2404247023': 5,'2404247020': 2, '2404247023': 14,
575.0,'2404247020': -0.3125, '2404247023': -4.0,'2404247020': 2, '2404247023': 6,'2404247020': 3, '2404247023': 18,
600.0,'2404247020': 0.0, '2404247023': -4.0,'2404247020': 0, '2404247023': 8,'2404247020': 0, '2404247023': 22,
625.0,'2404247020': 0.0, '2404247023': -4.0,'2404247020': 0, '2404247023': 10,'2404247020': 0, '2404247023': 27,
650.0,'2404247020': -0.15178572, '2404247023': -4.0,'2404247020': 2, '2404247023': 9,'2404247020': 3, '2404247023': 23,
675.0,'2404247020': -0.48660713, '2404247023': -4.0,'2404247020': 2, '2404247023': 10,'2404247020': 3, '2404247023': 29,
700.0,'2404247020': -0.22767857, '2404247023': -4.0,'2404247020': 2, '2404247023': 10,'2404247020': 4, '2404247023': 27,
725.0,'2404247020': 0.0, '2404247023': -4.0,'2404247020': 0, '2404247023': 8,'2404247020': 0, '2404247023': 19,
750.0,'2404247020': -0.25892857, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 4, '2404247023': 17,
775.0,'2404247020': -0.7901786, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 5, '2404247023': 17,
800.0,'2404247020': -1.4196428, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 6, '2404247023': 18,
825.0,'2404247020': -0.13392857, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 3, '2404247023': 15,
850.0,'2404247020': -0.21428572, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 4, '2404247023': 13,
875.0,'2404247020': -0.06696428, '2404247023': -2.6919644,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 7,
900.0,'2404247020': -0.30357143, '2404247023': -3.2410715,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 6,
