25.0,'2404247020': -0.004464286, '2404247023': 0.0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
50.0,'2404247020': -0.14285715, '2404247023': -0.08035714,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
75.0,'2404247020': -0.36607143, '2404247023': -0.54464287,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 7,
100.0,'2404247020': -0.74553573, '2404247023': -1.5267857,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 10,
125.0,'2404247020': -0.13392857, '2404247023': -2.7142856,'2404247020': 2, '2404247023': 3,'2404247020': 2, '2404247023': 12,
150.0,'2404247020': -0.23660715, '2404247023': -1.4553572,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 5,
175.0,'2404247020': -0.23660715, '2404247023': -2.299107,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 8,
200.0,'2404247020': -0.09821428, '2404247023': -2.6830356,'2404247020': 1, '2404247023': 5,'2404247020': 2, '2404247023': 7,
225.0,'2404247020': -0.16517857, '2404247023': -0.035714287,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
250.0,'2404247020': -0.49107143, '2404247023': -0.16517857,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
275.0,'2404247020': 0.0, '2404247023': -0.09375,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
300.0,'2404247020': -0.084821425, '2404247023': -0.07589286,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
325.0,'2404247020': -0.19642857, '2404247023': -0.18303572,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
350.0,'2404247020': -0.17857143, '2404247023': -0.52678573,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
375.0,'2404247020': -0.625, '2404247023': -0.17410715,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
400.0,'2404247020': 0.0, '2404247023': -0.04910714,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 1,
425.0,'2404247020': -0.08928572, '2404247023': -0.16071428,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
450.0,'2404247020': -0.16071428, '2404247023': -0.3705357,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 4,
475.0,'2404247020': -0.0625, '2404247023': -0.75,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
500.0,'2404247020': -0.33035713, '2404247023': -1.2053572,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
525.0,'2404247020': -0.19642857, '2404247023': -1.6428572,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
550.0,'2404247020': -0.004464286, '2404247023': -2.3660715,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 7,
575.0,'2404247020': -0.22321428, '2404247023': -3.2455356,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 8,
600.0,'2404247020': -0.72321427, '2404247023': -3.7232144,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 9,
625.0,'2404247020': -1.28125, '2404247023': -0.91964287,'2404247020': 3, '2404247023': 5,'2404247020': 5, '2404247023': 10,
650.0,'2404247020': -0.02232143, '2404247023': -1.5848215,'2404247020': 1, '2404247023': 5,'2404247020': 1, '2404247023': 11,
675.0,'2404247020': -0.035714287, '2404247023': -1.6428572,'2404247020': 2, '2404247023': 5,'2404247020': 2, '2404247023': 11,
700.0,'2404247020': -0.15625, '2404247023': -1.4598215,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
725.0,'2404247020': -0.20535715, '2404247023': -0.38839287,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
750.0,'2404247020': -0.67410713, '2404247023': -0.9464286,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 6,
775.0,'2404247020': -1.3125, '2404247023': -1.6160715,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 6,
800.0,'2404247020': -0.071428575, '2404247023': -2.2857144,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 6,
825.0,'2404247020': -0.10714286, '2404247023': -0.004464286,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
850.0,'2404247020': -0.3392857, '2404247023': -0.4017857,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
875.0,'2404247020': -0.8125, '2404247023': -0.3705357,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
900.0,'2404247020': -1.3705357, '2404247023': -0.5401786,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
925.0,'2404247020': -0.035714287, '2404247023': -0.73214287,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
950.0,'2404247020': -0.15625, '2404247023': -1.1785715,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
975.0,'2404247020': -0.071428575, '2404247023': -1.625,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
