25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.06696428, '2404247023': -0.10714286,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
75.0,'2404247020': -0.53571427, '2404247023': -0.39285713,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
100.0,'2404247020': -1.1830357, '2404247023': -0.81696427,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
125.0,'2404247020': -1.8526785, '2404247023': -0.47767857,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 4,
150.0,'2404247020': -2.5223215, '2404247023': -1.0446428,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 6,
175.0,'2404247020': -0.20535715, '2404247023': -1.5133928,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 11,
200.0,'2404247020': -0.13839285, '2404247023': -1.1160715,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 8,
225.0,'2404247020': -0.22321428, '2404247023': -2.0357144,'2404247020': 1, '2404247023': 5,'2404247020': 4, '2404247023': 11,
250.0,'2404247020': -0.6026786, '2404247023': 0.0,'2404247020': 2, '2404247023': 0,'2404247020': 4, '2404247023': 0,
275.0,'2404247020': -0.16517857, '2404247023': -0.3169643,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 5,
300.0,'2404247020': -0.084821425, '2404247023': -0.12053572,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
325.0,'2404247020': -0.16517857, '2404247023': -0.38392857,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 3,
350.0,'2404247020': -0.7098214, '2404247023': -0.87053573,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
375.0,'2404247020': -0.02232143, '2404247023': -0.96428573,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
400.0,'2404247020': -0.20089285, '2404247023': -1.3794643,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 5,
425.0,'2404247020': -0.5401786, '2404247023': -1.9375,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
450.0,'2404247020': -1.0446428, '2404247023': -0.004464286,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 1,
475.0,'2404247020': -0.04464286, '2404247023': -0.4732143,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
500.0,'2404247020': -0.04910714, '2404247023': -0.5223214,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
525.0,'2404247020': -0.28125, '2404247023': -0.85714287,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 5,
550.0,'2404247020': -0.73214287, '2404247023': -0.58928573,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
575.0,'2404247020': -1.2901785, '2404247023': -1.2232143,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 7,
600.0,'2404247020': 0.0, '2404247023': -1.0625,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 7,
625.0,'2404247020': 0.0, '2404247023': -1.7544643,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 8,
650.0,'2404247020': -0.02232143, '2404247023': -2.2901785,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 11,
675.0,'2404247020': -0.026785715, '2404247023': -2.3035715,'2404247020': 1, '2404247023': 5,'2404247020': 1, '2404247023': 10,
700.0,'2404247020': -0.24107143, '2404247023': -1.8928572,'2404247020': 2, '2404247023': 4,'2404247020': 2, '2404247023': 9,
725.0,'2404247020': -0.11160714, '2404247023': -1.4196428,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 7,
750.0,'2404247020': -0.3169643, '2404247023': -1.7857143,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 7,
775.0,'2404247020': -0.15178572, '2404247023': -0.6026786,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
800.0,'2404247020': -0.65178573, '2404247023': -0.26339287,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 2,
825.0,'2404247020': -1.2053572, '2404247023': -0.102678575,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 4,
850.0,'2404247020': -1.8571428, '2404247023': -0.66071427,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 6,
875.0,'2404247020': -2.5267856, '2404247023': -1.0491072,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 5,
900.0,'2404247020': -0.004464286, '2404247023': -1.1651785,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
925.0,'2404247020': -0.1875, '2404247023': -1.1919643,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 7,
950.0,'2404247020': -0.6875, '2404247023': -0.9598214,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
975.0,'2404247020': -0.14732143, '2404247023': -0.21875,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 6,
