25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.035714287, '2404247023': -0.071428575,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
75.0,'2404247020': -0.20535715, '2404247023': -0.15625,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
100.0,'2404247020': -0.625, '2404247023': -0.6339286,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 6,
125.0,'2404247020': -1.1205357, '2404247023': -0.80803573,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
150.0,'2404247020': -1.6785715, '2404247023': -0.52678573,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
175.0,'2404247020': -2.236607, '2404247023': -1.1517857,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 6,
200.0,'2404247020': -2.794643, '2404247023': -2.09375,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 10,
225.0,'2404247020': -0.14285715, '2404247023': -2.15625,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 10,
250.0,'2404247020': -0.32589287, '2404247023': -3.4910715,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 14,
275.0,'2404247020': 0.0, '2404247023': -2.986607,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 8,
300.0,'2404247020': -0.20089285, '2404247023': -0.5223214,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
325.0,'2404247020': -0.72321427, '2404247023': -0.41517857,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 5,
350.0,'2404247020': -0.04017857, '2404247023': -0.4955357,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
375.0,'2404247020': -0.17857143, '2404247023': -0.80803573,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 7,
400.0,'2404247020': -0.0625, '2404247023': -1.5848215,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 9,
425.0,'2404247020': -0.30357143, '2404247023': -0.13392857,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 2,
450.0,'2404247020': -0.071428575, '2404247023': -0.51339287,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
475.0,'2404247020': -0.09821428, '2404247023': -0.42857143,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 3,
500.0,'2404247020': -0.09375, '2404247023': -0.3169643,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
525.0,'2404247020': -0.02232143, '2404247023': -0.34375,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
550.0,'2404247020': -0.36160713, '2404247023': -0.13839285,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
575.0,'2404247020': 0.0, '2404247023': -0.48214287,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
600.0,'2404247020': 0.0, '2404247023': -1.1116072,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 7,
625.0,'2404247020': -0.07589286, '2404247023': -0.7410714,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 8,
650.0,'2404247020': -0.46875, '2404247023': -0.9285714,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 6,
675.0,'2404247020': -1.0267857, '2404247023': -1.7633928,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 10,
700.0,'2404247020': -1.5848215, '2404247023': -1.3303572,'2404247020': 2, '2404247023': 2,'2404247020': 5, '2404247023': 8,
725.0,'2404247020': -2.232143, '2404247023': -2.236607,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 9,
750.0,'2404247020': -0.06696428, '2404247023': -2.080357,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
775.0,'2404247020': -0.20982143, '2404247023': -1.4419643,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
800.0,'2404247020': -0.82589287, '2404247023': -1.9196428,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 6,
825.0,'2404247020': -1.4955357, '2404247023': -2.5892856,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 6,
850.0,'2404247020': -0.03125, '2404247023': -3.03125,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
875.0,'2404247020': -0.30357143, '2404247023': -3.5044644,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
900.0,'2404247020': 0.0, '2404247023': -1.28125,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
925.0,'2404247020': -0.071428575, '2404247023': -1.6116072,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
950.0,'2404247020': 0.0, '2404247023': -1.8928572,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
975.0,'2404247020': -0.058035713, '2404247023': -2.34375,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 5,
1000.0,'2404247020': -0.4017857, '2404247023': -2.924107,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 6,
1025.0,'2404247020': -0.16964285, '2404247023': -0.66964287,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 8,
1050.0,'2404247020': -0.08035714, '2404247023': -1.4776785,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 10,
1075.0,'2404247020': -0.3080357, '2404247023': -1.6741072,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 9,
1100.0,'2404247020': -0.125, '2404247023': -1.2767857,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1125.0,'2404247020': -0.09821428, '2404247023': -1.7232143,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
1150.0,'2404247020': -0.65625, '2404247023': -1.7321428,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 3,
1175.0,'2404247020': -0.70089287, '2404247023': -2.2232144,'2404247020': 4, '2404247023': 2,'2404247020': 5, '2404247023': 6,
1200.0,'2404247020': -1.3303572, '2404247023': -0.2767857,'2404247020': 4, '2404247023': 2,'2404247020': 7, '2404247023': 4,
1225.0,'2404247020': -0.17857143, '2404247023': -0.20535715,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
1250.0,'2404247020': -0.22321428, '2404247023': -0.375,'2404247020': 2, '2404247023': 2,'2404247020': 6, '2404247023': 6,
1275.0,'2404247020': -0.17410715, '2404247023': -0.81696427,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 8,
1300.0,'2404247020': -0.5625, '2404247023': -1.8080357,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 11,
1325.0,'2404247020': -1.0089285, '2404247023': -3.25,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 14,
1350.0,'2404247020': -0.04910714, '2404247023': -1.1160715,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1375.0,'2404247020': -0.27232143, '2404247023': -1.2321428,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1400.0,'2404247020': 0.0, '2404247023': -1.1160715,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 9,
1425.0,'2404247020': -0.19196428, '2404247023': -1.0491072,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
1450.0,'2404247020': -0.63839287, '2404247023': -1.5892857,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 6,
1475.0,'2404247020': -0.20982143, '2404247023': -1.4821428,'2404247020': 2, '2404247023': 2,'2404247020': 6, '2404247023': 7,
