25.0,'2404247020': 0.0, '2404247023': 0.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
50.0,'2404247020': -0.058035713, '2404247023': -0.004464286,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
75.0,'2404247020': 0.0, '2404247023': -0.3705357,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 6,
100.0,'2404247020': -0.08035714, '2404247023': -0.53571427,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
125.0,'2404247020': -0.6026786, '2404247023': -0.05357143,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 2,
150.0,'2404247020': -1.1607143, '2404247023': 0.0,'2404247020': 3, '2404247023': 0,'2404247020': 5, '2404247023': 0,
175.0,'2404247020': -0.3125, '2404247023': -0.09375,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 3,
200.0,'2404247020': -0.20089285, '2404247023': -0.5223214,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
225.0,'2404247020': -0.73214287, '2404247023': -1.1383928,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 7,
250.0,'2404247020': -0.08928572, '2404247023': -2.2410715,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 13,
275.0,'2404247020': -0.004464286, '2404247023': -3.8794644,'2404247020': 1, '2404247023': 4,'2404247020': 1, '2404247023': 16,
300.0,'2404247020': -0.15625, '2404247023': -1.2098215,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 6,
325.0,'2404247020': 0.0, '2404247023': -1.0401785,'2404247020': 0, '2404247023': 3,'2404247020': 0, '2404247023': 7,
350.0,'2404247020': -0.4375, '2404247023': -0.27232143,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 5,
375.0,'2404247020': -0.02232143, '2404247023': -0.5089286,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
400.0,'2404247020': -0.26785713, '2404247023': -1.1339285,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 8,
